id,餐廳名稱, 餐廳評價,餐廳地址,餐廳連結
27,蛋要酷 手工蛋餅專賣店,4.2,臺北市中正區信陽街26之4號,https://ifoodie.tw/restaurant/56f57e722756dd377d8608ae-%E8%9B%8B%E8%A6%81%E9%85%B7-%E6%89%8B%E5%B7%A5%E8%9B%8B%E9%A4%85%E5%B0%88%E8%B3%A3%E5%BA%97
28,達文西咖啡davincicoffee 溫州店,4.6,臺北市大安區溫州街58巷2號1F,https://ifoodie.tw/restaurant/58e683532756dd7a7c2b3dce-%E9%81%94%E6%96%87%E8%A5%BF%E5%92%96%E5%95%A1davincicoffee-%E6%BA%AB
29,水牛城美式炭烤牛排,4.4,臺北市中正區杭州南路二段94號,https://ifoodie.tw/restaurant/559d90dac03a103ee86c8a81-%E6%B0%B4%E7%89%9B%E5%9F%8E%E7%BE%8E%E5%BC%8F%E7%82%AD%E7%83%A4%E7%89%9B%E6%8E%92
30,欣葉日本料理自助餐聽,4.4,臺北市中正區館前路12號6樓,https://ifoodie.tw/restaurant/559de1b6c03a103ee86cb9d5-%E6%AC%A3%E8%91%89%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86%E8%87%AA%E5%8A%A9%E9%A4%90%E8%81%BD
31,雪王冰淇淋,4.4,臺北市中正區武昌街一段65號2樓,https://ifoodie.tw/restaurant/559dac4fc03a103ee86c9908-%E9%9B%AA%E7%8E%8B%E5%86%B0%E6%B7%87%E6%B7%8B
32,明星咖啡館,4.1,臺北市中正區武昌街一段5號2樓,https://ifoodie.tw/restaurant/559d3e78c03a103ee86c5667-%E6%98%8E%E6%98%9F%E5%92%96%E5%95%A1%E9%A4%A8
33,大戶屋 遠百寶慶店,4.0,臺北市中正區寶慶路32號B1,https://ifoodie.tw/restaurant/559d3357c03a103ee86c4f65-%E5%A4%A7%E6%88%B6%E5%B1%8B-%E9%81%A0%E7%99%BE%E5%AF%B6%E6%85%B6%E5%BA%97
34,秋嗨嗨冰店,4.9,臺北市中正區羅斯福路二段30巷11號,https://ifoodie.tw/restaurant/6121c756cd995770d0075e93-%E7%A7%8B%E5%97%A8%E5%97%A8%E5%86%B0%E5%BA%97
35,Simple Kaffa 興波咖啡旗艦店,4.2,臺北市中正區忠孝東路二段27號,https://ifoodie.tw/restaurant/5ca3145223679c626fa63ead-Simple-Kaffa-%E8%88%88%E6%B3%A2%E5%92%96%E5%95%A1%E6%97%97%E8%89%A6%E5%BA%97
36,城中市場老牌牛肉拉麵大王,4.2,臺北市中正區重慶南路一段46巷7號,https://ifoodie.tw/restaurant/55a5ff2ac03a102ec1415d9e-%E5%9F%8E%E4%B8%AD%E5%B8%82%E5%A0%B4%E8%80%81%E7%89%8C%E7%89%9B%E8%82%89%E6%8B%89%E9%BA%B5%E5%A4%A7%E7%8E%8B
37,雹仔豆花 鹽滷豆花,4.5,臺北市中正區臨沂街27巷9之4號,https://ifoodie.tw/restaurant/61504260cd9957072b538363-%E9%9B%B9%E4%BB%94%E8%B1%86%E8%8A%B1-%E9%B9%BD%E6%BB%B7%E8%B1%86%E8%8A%B1
38,豆味行,3.9,臺北市中正區南昌路一段64號,https://ifoodie.tw/restaurant/559d0bc5c03a103ee86c374d-%E8%B1%86%E5%91%B3%E8%A1%8C
39,BAC Cake & Sweets,4.1,臺北市中正區忠孝西路一段38號,https://ifoodie.tw/restaurant/559d3c83c03a103ee86c5505-BAC-Cake-%26-Sweets
40,鷹流拉麵極匠,4.1,臺北市中正區汀州路三段104巷4號,https://ifoodie.tw/restaurant/55b927ab40b5e303a1d5634f-%E9%B7%B9%E6%B5%81%E6%8B%89%E9%BA%B5%E6%A5%B5%E5%8C%A0
41,溫咖哩 Wen Curry,4.8,臺北市中正區濟南路二段3號之八,https://ifoodie.tw/restaurant/6134a970a6272805a3865da9-%E6%BA%AB%E5%92%96%E5%93%A9-Wen-Curry
42,YumYum 好吃好吃2號店,3.7,臺北市中正區羅斯福路三段316巷16號2樓,https://ifoodie.tw/restaurant/5dd358658c906d1ce32e9354-YumYum-%E5%A5%BD%E5%90%83%E5%A5%BD%E5%90%832%E8%99%9F%E5%BA%97
43,阿榮羊肉飯,4.2,臺北市中正區三元街262號,https://ifoodie.tw/restaurant/5ab9b8a322613976d687bb83-%E9%98%BF%E6%A6%AE%E7%BE%8A%E8%82%89%E9%A3%AF
44,江蘇老宜記燒餅舖,4.2,臺北市中正區南昌路一段59巷14號,https://ifoodie.tw/restaurant/5a944cf32756dd6909e1fa7c-%E6%B1%9F%E8%98%87%E8%80%81%E5%AE%9C%E8%A8%98%E7%87%92%E9%A4%85%E8%88%96
45,成都抄手麵食 China Dumpling Noodle,4.4,臺北市中正區重慶南路一段46巷3號,https://ifoodie.tw/restaurant/5a5505752756dd2c5dec66b2-%E6%88%90%E9%83%BD%E6%8A%84%E6%89%8B%E9%BA%B5%E9%A3%9F-China-Dumplin
46,Paper St. Coffee 紙街咖啡,4.2,臺北市中正區八德路一段28號,https://ifoodie.tw/restaurant/559d8c9ac03a103ee86c87bb-Paper-St.-Coffee-%E7%B4%99%E8%A1%97%E5%92%96
47,合歡刀削麵館,4.4,臺北市大安區杭州南路二段55號2樓,https://ifoodie.tw/restaurant/559d1fafc03a103ee86c41da-%E5%90%88%E6%AD%A1%E5%88%80%E5%89%8A%E9%BA%B5%E9%A4%A8
48,防空洞｜補給站-健康餐盒（林森南店）,4.6,臺北市中正區林森南路3巷1號,https://ifoodie.tw/restaurant/628ba5588282874578b8fdab-%E9%98%B2%E7%A9%BA%E6%B4%9E%EF%BD%9C%E8%A3%9C%E7%B5%A6%E7%AB%99-%E5%81%A5%E5%BA%B7%E9%A4%90%E7%9B%92%EF%BC%88%E6%9E%97%E6%A3%AE%E5%8D%97%E5%BA%97%EF%BC%89
49,小飯館兒,3.6,臺北市中正區汀洲路三段202號,https://ifoodie.tw/restaurant/559d22b5c03a103ee86c43ce-%E5%B0%8F%E9%A3%AF%E9%A4%A8%E5%85%92
50,古早味麵店,3.7,台北市中正區汀州路一段210號,https://ifoodie.tw/restaurant/628a39fe7cc7fc7ac66ea327-%E5%8F%A4%E6%97%A9%E5%91%B3%E9%BA%B5%E5%BA%97
51,以馬內利鮮魚湯,4.4,臺北市中正區杭州南路一段3號,https://ifoodie.tw/restaurant/559da2c3c03a103ee86c9339-%E4%BB%A5%E9%A6%AC%E5%85%A7%E5%88%A9%E9%AE%AE%E9%AD%9A%E6%B9%AF
52,CAFE de GEAR,4.1,台北市中正區寧波東街3-3號,https://ifoodie.tw/restaurant/56e42343699b6e23bfe53e3c-CAFE-de-GEAR
53,快樂檸檬Happylemon 公館旗艦店,4.8,臺北市中正區羅斯福路四段24巷14號,https://ifoodie.tw/restaurant/624124faa6272804d57b20c7-%E5%BF%AB%E6%A8%82%E6%AA%B8%E6%AA%ACHappylemon-%E5%85%AC%E9%A4%A8%E6%97%97%E8%89%A6%E5%BA%97
54,彌生軒 YAYOI 懷寧店,4.1,臺北市中正區懷寧街21號2樓,https://ifoodie.tw/restaurant/57d7779e699b6e0dc3ad7658-%E5%BD%8C%E7%94%9F%E8%BB%92-YAYOI-%E6%87%B7%E5%AF%A7%E5%BA%97
55,振頤軒 忠孝新生門市,4.1,臺北市中正區忠孝東路二段102號,https://ifoodie.tw/restaurant/5b2be9bf2756dd0e7cb646c3-%E6%8C%AF%E9%A0%A4%E8%BB%92-%E5%BF%A0%E5%AD%9D%E6%96%B0%E7%94%9F%E9%96%80%E5%B8%82
56,白糖粿,4.0,臺北市中正區羅斯福路四段108巷4之2號,https://ifoodie.tw/restaurant/5fa8af6302935e5dca0b0e5c-%E7%99%BD%E7%B3%96%E7%B2%BF
57,鉄火燒肉 微風北車店,2.7,臺北市中正區北平西路3號2樓,https://ifoodie.tw/restaurant/628797d07cc7fc7ac664a1e6-%E9%89%84%E7%81%AB%E7%87%92%E8%82%89-%E5%BE%AE%E9%A2%A8%E5%8C%97%E8%BB%8A%E5%BA%97
58,黑洞珈琲店,4.6,臺北市中正區羅斯福路三段210巷8弄7號,https://ifoodie.tw/restaurant/5d9d88c7d6895d43b02d20b8-%E9%BB%91%E6%B4%9E%E7%8F%88%E7%90%B2%E5%BA%97
59,咖食堂,4.1,臺北市中正區八德路一段82巷9弄13號,https://ifoodie.tw/restaurant/5873d34d2756dd4b7f640541-%E5%92%96%E9%A3%9F%E5%A0%82
60,艋舺米粉嫂,4.2,臺北市中正區汀州路一段159號,https://ifoodie.tw/restaurant/6284f4127cc7fc754e306c40-%E8%89%8B%E8%88%BA%E7%B1%B3%E7%B2%89%E5%AB%82
61,良品牛肉麵館,4.0,臺北市中正區開封街一段10號,https://ifoodie.tw/restaurant/57473b692756dd3be26d42a4-%E8%89%AF%E5%93%81%E7%89%9B%E8%82%89%E9%BA%B5%E9%A4%A8
62,王功鮮蚵之家,4.3,臺北市中正區中華路二段305巷15之1號,https://ifoodie.tw/restaurant/5f90979a02935e35cc6cd359-%E7%8E%8B%E5%8A%9F%E9%AE%AE%E8%9A%B5%E4%B9%8B%E5%AE%B6
63,新驛旅店西門捷運店,4.5,臺北市中正區寶慶路63號,https://ifoodie.tw/restaurant/6283a2f17cc7fc3aaa683f1b-%E6%96%B0%E9%A9%9B%E6%97%85%E5%BA%97%E8%A5%BF%E9%96%80%E6%8D%B7%E9%81%8B%E5%BA%97
64,塩琉,4.7,臺北市中正區重慶南路一段116號,https://ifoodie.tw/restaurant/6140a7e082828710b7b27d25-%E5%A1%A9%E7%90%89
65,overthink 餐飲小吃部,4.9,臺北市中正區廈門街34巷2號,https://ifoodie.tw/restaurant/6281d4de873d79160ef52a60-overthink-%E9%A4%90%E9%A3%B2%E5%B0%8F%E5%90%83%E9%83%A8
66,黑毛屋 微風台北車站店,4.0,臺北市中正區北平西路3號2樓,https://ifoodie.tw/restaurant/5e89e9502756dd5929080c45-%E9%BB%91%E6%AF%9B%E5%B1%8B-%E5%BE%AE%E9%A2%A8%E5%8F%B0%E5%8C%97%E8%BB%8A%E7%AB%99%E5%BA%97
67,雙月食品社 濟南店,4.7,臺北市中正區濟南路一段7號1樓,https://ifoodie.tw/restaurant/5ec1f71e22613912d02802af-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E6%BF%9F%E5%8D%97%E5%BA%97
68,夫妻飯莊 南機場夜市,4.5,臺北市中正區中華路二段313巷19號,https://ifoodie.tw/restaurant/5efc9c852756dd06c21e6032-%E5%A4%AB%E5%A6%BB%E9%A3%AF%E8%8E%8A-%E5%8D%97%E6%A9%9F%E5%A0%B4%E5%A4%9C%E5%B8%82
69,金湘台灣小吃,4.5,臺北市中正區新生南路一段14號,https://ifoodie.tw/restaurant/6280cc6d873d793c6af3863d-%E9%87%91%E6%B9%98%E5%8F%B0%E7%81%A3%E5%B0%8F%E5%90%83
70,龍記搶鍋麵,4.0,臺北市中正區衡陽路84巷5號,https://ifoodie.tw/restaurant/559d3e28c03a103ee86c5635-%E9%BE%8D%E8%A8%98%E6%90%B6%E9%8D%8B%E9%BA%B5
71,頂香蚵仔麵線 .南部肉粽店,4.1,臺北市中正區汀州路一段111號一樓,https://ifoodie.tw/restaurant/627fadf37cc7fc0c39313be6-%E9%A0%82%E9%A6%99%E8%9A%B5%E4%BB%94%E9%BA%B5%E7%B7%9A-.%E5%8D%97%E9%83%A8%E8%82%89%E7%B2%BD%E5%BA%97
72,日本橋浜町酒食处 微風北車店,4.2,臺北市中正區北平西路3號2樓,https://ifoodie.tw/restaurant/5fdf1d1d226139492a0f1589-%E6%97%A5%E6%9C%AC%E6%A9%8B%E6%B5%9C%E7%94%BA%E9%85%92%E9%A3%9F%E5%A4%84-%E5%BE%AE%E9%A2%A8%E5%8C%97%E8%BB%8A%E5%BA%97
73,聚北海道鍋物 台北衡陽店,4.4,臺北市中正區衡陽路3號2樓,https://ifoodie.tw/restaurant/559d2655c03a103ee86c45fc-%E8%81%9A%E5%8C%97%E6%B5%B7%E9%81%93%E9%8D%8B%E7%89%A9-%E5%8F%B0%E5%8C%97%E8%A1%A1%E9%99%BD%E5%BA%97
74,尖蚪,4.5,臺北市中正區汀州路三段230巷57號,https://ifoodie.tw/restaurant/559d1177c03a103ee86c39d1-%E5%B0%96%E8%9A%AA
75,慶三號烤肉倉庫早午餐,3.9,臺北市中正區延平南路19號,https://ifoodie.tw/restaurant/5a26e0212756dd43b742943d-%E6%85%B6%E4%B8%89%E8%99%9F%E7%83%A4%E8%82%89%E5%80%89%E5%BA%AB%E6%97%A9%E5%8D%88%E9%A4%90
