id,餐廳名稱,餐廳評價,餐廳地址,餐廳連結
1,豬肝榮仔 南機場直營店,4.5,臺北市中正區中華路二段313巷10號,https://ifoodie.tw/restaurant/630ac8df7cc7fc419f8c7ce6-%E8%B1%AC%E8%82%9D%E6%A6%AE%E4%BB%94-%E5%8D%97%E6%A9%9F%E5%A0%B4%E7%9B%B4%E7%87%9F%E5%BA%97
2,青鳥Bleu&Book,4.5,台北市八德路一段1號,https://ifoodie.tw/restaurant/57fe7acd2756dd3badddb26c-%E9%9D%92%E9%B3%A5Bleu%26Book
3,豆味行,3.9,臺北市中正區南昌路一段64號,https://ifoodie.tw/restaurant/559d0bc5c03a103ee86c374d-%E8%B1%86%E5%91%B3%E8%A1%8C
4,B-Line By A Train,4.6,台北市中正區忠孝東路二段104號2樓,https://ifoodie.tw/restaurant/559dc5a7c03a103ee86ca8a6-B-Line-By-A-Train
5,松青潤餅,4.4,臺北市中正區中華路二段311巷4號,https://ifoodie.tw/restaurant/5a3560a52756dd53a25ae748-%E6%9D%BE%E9%9D%92%E6%BD%A4%E9%A4%85
6,uPoke 夏威夷生魚飯 水源門市,4.8,臺北市中正區思源街16號,https://ifoodie.tw/restaurant/62256c5fa627280f927b8740-uPoke-%E5%A4%8F%E5%A8%81%E5%A4%B7%E7%94%9F%E9%AD%9A%E9%A3%AF-%E6%B0%B4%E6%BA%90%E9%96%80%E5%B8%82
7,30 ice cream,4.4,臺北市中正區市民大道一段100號臺北地下街Y22入口處,https://ifoodie.tw/restaurant/61c2d7c3781cc0365e195c77-30-ice-cream
8,龍潭豆花,4.2,臺北市中正區汀州路三段239號,https://ifoodie.tw/restaurant/559d4851c03a103ee86c5cd5-%E9%BE%8D%E6%BD%AD%E8%B1%86%E8%8A%B1
9,肉多多火鍋 台北重慶南店,4.6,臺北市中正區重慶南路一段58號3樓,https://ifoodie.tw/restaurant/5cd23c0e23679c4fd3429cee-%E8%82%89%E5%A4%9A%E5%A4%9A%E7%81%AB%E9%8D%8B-%E5%8F%B0%E5%8C%97%E9%87%8D%E6%85%B6%E5%8D%97%E5%BA%97
10,雙月食品社 濟南店,4.8,臺北市中正區濟南路一段7號1樓,https://ifoodie.tw/restaurant/5ec1f71e22613912d02802af-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E6%BF%9F%E5%8D%97%E5%BA%97
11,曼德樂泰式料理,3.9,臺北市中正區汀州路三段239號,https://ifoodie.tw/restaurant/571e5c012756dd504810441f-%E6%9B%BC%E5%BE%B7%E6%A8%82%E6%B3%B0%E5%BC%8F%E6%96%99%E7%90%86
12,彼得好咖啡（南門店）Peter Better Cafe,4.3,臺北市中正區羅斯福路一段24號,https://ifoodie.tw/restaurant/630779fa7cc7fc2c07d90a04-%E5%BD%BC%E5%BE%97%E5%A5%BD%E5%92%96%E5%95%A1%EF%BC%88%E5%8D%97%E9%96%80%E5%BA%97%EF%BC%89Peter-Bett
13,純愛小吃部 Pure Love Diner Bar,4.4,臺北市中正區汀州路三段104巷9號,https://ifoodie.tw/restaurant/604a104c7cc7fc6018f8914a-%E7%B4%94%E6%84%9B%E5%B0%8F%E5%90%83%E9%83%A8-Pure-Love-Dine
14,小螺波 XIAO LUO BO 公館店,4.4,臺北市中正區羅斯福路三段284巷11號一樓,https://ifoodie.tw/restaurant/616786f9a6272874909a1f19-%E5%B0%8F%E8%9E%BA%E6%B3%A2-XIAO-LUO-BO-%E5%85%AC%E9%A4%A8%E5%BA%97
15,十二廚 (喜來登大飯店),3.7,臺北市中正區忠孝東路一段12號,https://ifoodie.tw/restaurant/559d4bc0c03a103ee86c5eb1-%E5%8D%81%E4%BA%8C%E5%BB%9A-(%E5%96%9C%E4%BE%86%E7%99%BB%E5%A4%A7%E9%A3%AF%E5%BA%97)
