store_name,create_time,phone_number,address,total_score,business_hour,distance,latitude_longitude,url,is_appointed_store,is_unknown_store
龍記搶鍋麵,2022-09-06 02:38:19,0223822057,臺北市中正區衡陽路84巷5號,4.0,"2:10301340,2:16301920,3:10301340,3:16301920,4:10301340,4:16301920,5:10301340,5:16301920,1:10301340,1:16301920",1.792km,"25.041854,121.510941",https://ifoodie.tw/restaurant/559d3e28c03a103ee86c5635-%E9%BE%8D%E8%A8%98%E6%90%B6%E9%8D%8B%E9%BA%B5,0,0
上村牧場 微風北車店,2022-09-06 02:38:37,0223115592,臺北市中正區北平西路3號2樓,3.8,"2:10002200,3:10002200,4:10002200,5:10002200,6:10002200,7:10002200,1:10002200",0.946km,"25.047203,121.517044",https://ifoodie.tw/restaurant/5fb26cce8c906d7b09b87ba4-%E4%B8%8A%E6%9D%91%E7%89%A7%E5%A0%B4-%E5%BE%AE%E9%A2%A8%E5%8C%97%E8%BB%8A%E5%BA%97,0,0
石研室 石頭火鍋 和億北車店,2022-09-06 02:38:52,0223715580,臺北市中正區忠孝西路一段36號和億北車站B1F,4.3,"2:11002030,3:11002030,4:11002030,5:11002100,6:11002100,7:11002030,1:11002030",1.054km,"25.046076,121.517036",https://ifoodie.tw/restaurant/5a7ab42d2756dd7bff171eec-%E7%9F%B3%E7%A0%94%E5%AE%A4-%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B-%E5%92%8C%E5%84%84%E5%8C%97%E8%BB%8A%E5%BA%97,0,0
雙月食品社 濟南店,2022-09-06 02:39:06,0233938952,臺北市中正區濟南路一段7號1樓,4.8,"2:11001400,2:17002000,3:11001400,3:17002000,4:11001400,4:17002000,5:11001400,5:17002000,6:11001400,6:17002000,7:11001400,7:17002000,1:11001400,1:17002000",1.287km,"25.042741,121.521888",https://ifoodie.tw/restaurant/5ec1f71e22613912d02802af-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E6%BF%9F%E5%8D%97%E5%BA%97,0,0
Simple Kaffa 興波咖啡旗艦店,2022-09-06 02:39:25,0233221888,臺北市中正區忠孝東路二段27號,4.2,"2:10001700,3:10001700,4:10001700,5:10001700,6:10001700,7:10001700,1:10001700",1.287km,"25.043906,121.527796",https://ifoodie.tw/restaurant/5ca3145223679c626fa63ead-Simple-Kaffa-%E8%88%88%E6%B3%A2%E5%92%96%E5%95%A1%E6%97%97%E8%89%A6%E5%BA%97,0,0
一派胡塩 酵素臭豆腐 萬大店,2022-09-06 02:39:39,0953933507,臺北市中正區萬大路86號,4.4,"2:11302030,3:11302030,5:11302030,6:11302030,7:11302030,1:11302030",3.449km,"25.030449,121.500376",https://ifoodie.tw/restaurant/61a34962cd99576a02f1a468-%E4%B8%80%E6%B4%BE%E8%83%A1%E5%A1%A9-%E9%85%B5%E7%B4%A0%E8%87%AD%E8%B1%86%E8%85%90-%E8%90%AC%E5%A4%A7%E5%BA%97,0,0
Kakigori Toshihiko,2022-09-06 02:39:51,999,台北市中正區金門街2-2號,4.5,"2:13002000,3:13002000,4:13002000,5:13002000,6:13002000,7:13002000,",3.474km,"25.023175,121.524716",https://ifoodie.tw/restaurant/5b70f36322613929e502b71c-Kakigori-Toshihiko,0,0
魔法咖哩Magic Curry,2022-09-06 02:40:05,0223886298,臺北市中正區忠孝西路一段38號B1,4.1,"2:11001430,2:17002030,3:11001430,3:17002030,4:11001430,4:17002030,5:11001430,5:17002030,6:11002030,7:11002030,1:11001430,1:17002030",1.069km,"25.046254,121.516417",https://ifoodie.tw/restaurant/5654345b2756dd1f85c55094-%E9%AD%94%E6%B3%95%E5%92%96%E5%93%A9Magic-Curry,0,0
原來上海,2022-09-06 02:40:16,0223965154,臺北市中正區仁愛路一段17號,4.2,"2:11301400,2:17302100,3:11301400,3:17302100,4:11301400,4:17302100,5:11301400,5:17302100,6:11301400,6:17302100,7:11301400,7:17302100,1:11301400,1:17302100",1.699km,"25.039041,121.522224",https://ifoodie.tw/restaurant/61eab4b27cc7fc51e4a5fe8c-%E5%8E%9F%E4%BE%86%E4%B8%8A%E6%B5%B7,0,0
雙月食品社 青島店,2022-09-06 02:40:31,0233938953,臺北市中正區青島東路6之2號,4.6,"2:11001400,2:17002000,3:11001400,3:17002000,4:11001400,4:17002000,5:11001400,5:17002000,6:11001400,6:17002000,1:11001400,1:17002000",1.173km,"25.043765,121.521924",https://ifoodie.tw/restaurant/55de00d72756dd6eac5c52d3-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E9%9D%92%E5%B3%B6%E5%BA%97,0,0
