id,餐廳名稱,餐廳評價,餐廳地址,餐廳連結
1,龍記搶鍋麵,4.0,臺北市中正區衡陽路84巷5號,https://ifoodie.tw/restaurant/559d3e28c03a103ee86c5635-%E9%BE%8D%E8%A8%98%E6%90%B6%E9%8D%8B%E9%BA%B5
2,上村牧場 微風北車店,3.8,臺北市中正區北平西路3號2樓,https://ifoodie.tw/restaurant/5fb26cce8c906d7b09b87ba4-%E4%B8%8A%E6%9D%91%E7%89%A7%E5%A0%B4-%E5%BE%AE%E9%A2%A8%E5%8C%97%E8%BB%8A%E5%BA%97
3,石研室 石頭火鍋 和億北車店,4.3,臺北市中正區忠孝西路一段36號和億北車站B1F,https://ifoodie.tw/restaurant/5a7ab42d2756dd7bff171eec-%E7%9F%B3%E7%A0%94%E5%AE%A4-%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B-%E5%92%8C%E5%84%84%E5%8C%97%E8%BB%8A%E5%BA%97
4,雙月食品社 濟南店,4.8,臺北市中正區濟南路一段7號1樓,https://ifoodie.tw/restaurant/5ec1f71e22613912d02802af-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E6%BF%9F%E5%8D%97%E5%BA%97
5,Simple Kaffa 興波咖啡旗艦店,4.2,臺北市中正區忠孝東路二段27號,https://ifoodie.tw/restaurant/5ca3145223679c626fa63ead-Simple-Kaffa-%E8%88%88%E6%B3%A2%E5%92%96%E5%95%A1%E6%97%97%E8%89%A6%E5%BA%97
6,一派胡塩 酵素臭豆腐 萬大店,4.4,臺北市中正區萬大路86號,https://ifoodie.tw/restaurant/61a34962cd99576a02f1a468-%E4%B8%80%E6%B4%BE%E8%83%A1%E5%A1%A9-%E9%85%B5%E7%B4%A0%E8%87%AD%E8%B1%86%E8%85%90-%E8%90%AC%E5%A4%A7%E5%BA%97
7,Kakigori Toshihiko,4.5,台北市中正區金門街2-2號,https://ifoodie.tw/restaurant/5b70f36322613929e502b71c-Kakigori-Toshihiko
8,魔法咖哩Magic Curry,4.1,臺北市中正區忠孝西路一段38號B1,https://ifoodie.tw/restaurant/5654345b2756dd1f85c55094-%E9%AD%94%E6%B3%95%E5%92%96%E5%93%A9Magic-Curry
9,原來上海,4.2,臺北市中正區仁愛路一段17號,https://ifoodie.tw/restaurant/61eab4b27cc7fc51e4a5fe8c-%E5%8E%9F%E4%BE%86%E4%B8%8A%E6%B5%B7
10,雙月食品社 青島店,4.6,臺北市中正區青島東路6之2號,https://ifoodie.tw/restaurant/55de00d72756dd6eac5c52d3-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E9%9D%92%E5%B3%B6%E5%BA%97
11,Vice Versa Wineshop & Kitchen,4.2,臺北市中正區廈門街94號,https://ifoodie.tw/restaurant/6080e21c781cc00c2d10b7de-Vice-Versa-Wineshop-
12,肉球森林,4.8,臺北市中正區新生南路一段160巷22之1號1樓,https://ifoodie.tw/restaurant/5e797fd722613940414260eb-%E8%82%89%E7%90%83%E6%A3%AE%E6%9E%97
13,93番茄牛肉麵,4.3,臺北市中正區青島東路3之2號,https://ifoodie.tw/restaurant/59ff52d22756dd6f04e9d377-93%E7%95%AA%E8%8C%84%E7%89%9B%E8%82%89%E9%BA%B5
14,東東好生活,4.9,臺北市中正區齊東街76號,https://ifoodie.tw/restaurant/631020bacd995739244633dd-%E6%9D%B1%E6%9D%B1%E5%A5%BD%E7%94%9F%E6%B4%BB
15,墨洋拉麵,4.2,臺北市中正區羅斯福路四段136巷10號,https://ifoodie.tw/restaurant/5f1eddfed6895d462756373b-%E5%A2%A8%E6%B4%8B%E6%8B%89%E9%BA%B5
