opentime
"2:09001800,3:09001800,4:09001800,5:09001800,6:09001800,7:09001800,1:09001800"
"2:11302000,3:11302000,4:11302100,5:11302100,6:11302100,7:11302100,1:11302000"
"2:10002200,3:10002200,4:10002200,5:10002200,6:10002200,7:10002200,1:10002200"
"2:10301500,2:16002030,3:10301500,3:16002030,4:10301500,4:16002030,5:10301500,5:16002030,6:10301500,6:16002030,1:10301500,1:16002030"
"2:11301430,2:17102045,3:11301430,3:17102045,4:11301430,4:17102045,5:11301430,5:17102045,6:11301430,1:11301430,1:17102045"
"2:11001430,2:17002030,3:11001430,3:17002030,4:11001430,4:17002030,5:11001430,5:17002030,6:11001400,1:11001430,1:17002030"
"2:11001900,3:11001900,4:11001900,5:11001900,6:11001900,1:11001900"
"2:11001400,2:17001900,3:11001400,3:17001900,4:11001400,4:17001900,5:11001400,5:17001900,6:11001400,6:17001900,7:11001400,"
"2:11002100,3:11002100,4:11002100,5:11002100,6:11002100,7:11002100,1:11002100"
"2:11001430,2:16302100,3:11001430,3:16302100,4:11001430,4:16302100,5:11001430,5:16302100,6:11001430,6:16302100,7:11001430,7:16302100,1:11001430,1:16302100"
"2:17002130,3:17002130,4:17002130,5:17002130,6:11001430,6:17002130,7:11001430,7:17002130,1:17002130"
"2:11001900,3:11001900,4:11001900,5:11001900,6:11001900,7:11001900,1:11001900"
"2:11301400,2:16302200,3:11301400,3:16302200,4:11301400,4:16302200,5:11301400,5:16302200,6:11301400,6:16302200,7:11301400,7:16302200,1:11301400,1:16302200"
"2:11002030,3:11002030,4:11002030,5:11002030,6:11002030,7:11002030,1:11002030"
"2:05001130,3:05001130,4:05001130,5:05001130,6:05001130,7:05001130,"
