id,餐廳名稱, 餐廳評價,餐廳地址,餐廳連結
1,廣州餐廳,4.2,臺北市中正區中華路二段427號,https://ifoodie.tw/restaurant/62a327d9baf6d342301c7f50-%E5%BB%A3%E5%B7%9E%E9%A4%90%E5%BB%B3
2,南機場汕頭乾麵,4.1,臺北市中正區中華路二段307巷15號,https://ifoodie.tw/restaurant/55a4bb0fc03a1002ad8adb75-%E5%8D%97%E6%A9%9F%E5%A0%B4%E6%B1%95%E9%A0%AD%E4%B9%BE%E9%BA%B5
3,Dicos德克士脆皮炸雞 台北重慶南店,4.0,臺北市中正區重慶南路一段100號,https://ifoodie.tw/restaurant/62f10f397cc7fc49b6eb4fcc-Dicos%E5%BE%B7%E5%85%8B%E5%A3%AB%E8%84%86%E7%9A%AE%E7%82%B8%E9%9B%9E-%E5%8F%B0%E5%8C%97%E9%87%8D%E6%85%B6%E5%8D%97%E5%BA%97
4,饗聚廚房 台北花園大酒店,3.5,臺北市中正區中華路二段1號1樓,https://ifoodie.tw/restaurant/60768fedcd99572ecca50a80-%E9%A5%97%E8%81%9A%E5%BB%9A%E6%88%BF-%E5%8F%B0%E5%8C%97%E8%8A%B1%E5%9C%92%E5%A4%A7%E9%85%92%E5%BA%97
5,無名鹹粥,4.0,臺北市中正區汀州路一段90號,https://ifoodie.tw/restaurant/559da0f7c03a103ee86c9281-%E7%84%A1%E5%90%8D%E9%B9%B9%E7%B2%A5
6,Kakigori Toshihiko,4.4,台北市中正區金門街2-2號,https://ifoodie.tw/restaurant/5b70f36322613929e502b71c-Kakigori-Toshihiko
7,潮·雞·派,4.9,臺北市中正區汀州路二段82號,https://ifoodie.tw/restaurant/62ee6c4e7cc7fc49b6eb1106-%E6%BD%AE%C2%B7%E9%9B%9E%C2%B7%E6%B4%BE
8,Vice Versa Wineshop & Kitchen,4.1,臺北市中正區廈門街94號,https://ifoodie.tw/restaurant/6080e21c781cc00c2d10b7de-Vice-Versa-Wineshop-
9,鴉片粉圓,4.0,臺北市中正區羅斯福路四段52巷16弄4號,https://ifoodie.tw/restaurant/59ef803d2756dd291ac66147-%E9%B4%89%E7%89%87%E7%B2%89%E5%9C%93
10,雙月食品社 濟南店,4.8,臺北市中正區濟南路一段7號1樓,https://ifoodie.tw/restaurant/5ec1f71e22613912d02802af-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E6%BF%9F%E5%8D%97%E5%BA%97
11,維都 公館店,4.7,臺北市中正區羅斯福路三段244巷13號,https://ifoodie.tw/restaurant/62c109e88282877424813e4e-%E7%B6%AD%E9%83%BD-%E5%85%AC%E9%A4%A8%E5%BA%97
12,欣葉日本料理自助餐聽,4.4,臺北市中正區館前路12號6樓,https://ifoodie.tw/restaurant/559de1b6c03a103ee86cb9d5-%E6%AC%A3%E8%91%89%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86%E8%87%AA%E5%8A%A9%E9%A4%90%E8%81%BD
13,素食地瓜球,4.0,臺北市中正區羅斯福路四段108巷8之1號,https://ifoodie.tw/restaurant/5cb81675f524683336995f38-%E7%B4%A0%E9%A3%9F%E5%9C%B0%E7%93%9C%E7%90%83
14,Petit France 小法國餐館,4.7,臺北市中正區青島東路21之4號善導寺捷運站,https://ifoodie.tw/restaurant/5e1342712756dd0e3c6eb051-Petit-France-%E5%B0%8F%E6%B3%95%E5%9C%8B%E9%A4%90%E9%A4%A8
15,阜杭豆漿,3.9,臺北市中正區忠孝東路一段108號2樓,https://ifoodie.tw/restaurant/559dbd8ec03a103ee86ca34f-%E9%98%9C%E6%9D%AD%E8%B1%86%E6%BC%BF
