store_name,create_time,phone_number,address,total_score,business_hour,url,is_appointed_store,is_unknown_store
劉媽媽飯糰,2022-08-24 08:09:13,0233936915,臺北市中正區杭州南路二段88號,4.3,"3:05001130,4:05001130,5:05001130,6:05001130,7:05001130,2:05001130",https://ifoodie.tw/restaurant/559d35c3c03a103ee86c50d6-%E5%8A%89%E5%AA%BD%E5%AA%BD%E9%A3%AF%E7%B3%B0,0,0
瓦崎燒烤火鍋 公館店,2022-08-24 08:09:18,0223690696,臺北市中正區羅斯福路四段24巷5號,4.0,"3:11302300,4:11302300,5:11302300,6:11302300,7:11302300,1:11302300,2:11302300",https://ifoodie.tw/restaurant/559d04e1c03a103ee86c3419-%E7%93%A6%E5%B4%8E%E7%87%92%E7%83%A4%E7%81%AB%E9%8D%8B-%E5%85%AC%E9%A4%A8%E5%BA%97,0,0
金家飯捲 KOREA GIMBAP 김가김밥,2022-08-24 08:09:22,0938808065,臺北市中正區金門街2之3號,4.6,"3:11001400,3:17002000,4:11001400,4:17002000,5:11001400,5:17002000,6:11001400,6:17002000,1:11001400,1:17002000,2:11001400,2:17002000",https://ifoodie.tw/restaurant/62fb9b707cc7fc67f86391de-%E9%87%91%E5%AE%B6%E9%A3%AF%E6%8D%B2-KOREA-GIMBAP-%EA%B9%80%EA%B0%80,0,0
龍潭豆花,2022-08-24 08:09:27,0938808065,臺北市中正區汀州路三段239號,4.2,"3:12302200,4:12302200,5:12302200,6:11302200,7:12002200,2:12002200",https://ifoodie.tw/restaurant/559d4851c03a103ee86c5cd5-%E9%BE%8D%E6%BD%AD%E8%B1%86%E8%8A%B1,0,0
城中市場老牌牛肉拉麵大王,2022-08-24 08:09:32,0223815604,臺北市中正區重慶南路一段46巷7號,4.2,"3:10002000,4:10002000,5:10002000,6:10002000,7:10002000,1:10002000,2:10002000",https://ifoodie.tw/restaurant/55a5ff2ac03a102ec1415d9e-%E5%9F%8E%E4%B8%AD%E5%B8%82%E5%A0%B4%E8%80%81%E7%89%8C%E7%89%9B%E8%82%89%E6%8B%89%E9%BA%B5%E5%A4%A7%E7%8E%8B,0,0
有飲 Youin 創意飲品 台北公館店,2022-08-24 08:09:37,0223680899,臺北市中正區汀州路三段221號,4.1,"3:12002000,4:12002000,5:12002000,6:12002000,7:12002000,1:12002000,2:12002000",https://ifoodie.tw/restaurant/6226c828a62728640af345d4-%E6%9C%89%E9%A3%B2-Youin-%E5%89%B5%E6%84%8F%E9%A3%B2%E5%93%81-%E5%8F%B0%E5%8C%97%E5%85%AC%E9%A4%A8%E5%BA%97,0,0
何家甜品鋪-剉冰雪花冰(公館汀州),2022-08-24 08:09:42,0902115871,臺北市中正區汀州路三段124號1樓,4.4,"3:10302330,4:10302330,5:10302330,6:10302330,7:10302330,1:10302330,2:10302330",https://ifoodie.tw/restaurant/62abfa1f873d792aed2f2657-%E4%BD%95%E5%AE%B6%E7%94%9C%E5%93%81%E9%8B%AA-%E5%89%89%E5%86%B0%E9%9B%AA%E8%8A%B1%E5%86%B0(%E5%85%AC%E9%A4%A8%E6%B1%80%E5%B7%9E),0,0
明星咖啡館,2022-08-24 08:09:46,0223815589,臺北市中正區武昌街一段5號2樓,4.1,"3:11302030,4:11302030,5:11302100,6:11302100,7:11302030,1:11302030,2:11302030",https://ifoodie.tw/restaurant/559d3e78c03a103ee86c5667-%E6%98%8E%E6%98%9F%E5%92%96%E5%95%A1%E9%A4%A8,0,0
辛殿麻辣鍋 公館店,2022-08-24 08:09:51,0277337667,臺北市中正區羅斯福路三段316巷9弄1號,4.4,"3:00000130,3:11300000,4:00000130,4:11300000,5:00000130,5:11300000,6:00000130,6:11300000,7:11300000,7:00000130,1:00000130,1:11300000,2:00000130,2:11300000",https://ifoodie.tw/restaurant/5f90fe0902935e35cd626b65-%E8%BE%9B%E6%AE%BF%E9%BA%BB%E8%BE%A3%E9%8D%8B-%E5%85%AC%E9%A4%A8%E5%BA%97,0,0
上海鄉村餐廳 濟南店,2022-08-24 08:09:56,0223223333,臺北市中正區濟南路二段37號,4.3,"3:11301400,3:17302100,4:11301400,4:17302100,5:11301400,5:17302100,6:11301400,6:17302100,7:11301400,7:17302100,1:11301400,1:17302100,2:11301400,2:17302100",https://ifoodie.tw/restaurant/559d4f4cc03a103ee86c6160-%E4%B8%8A%E6%B5%B7%E9%84%89%E6%9D%91%E9%A4%90%E5%BB%B3-%E6%BF%9F%E5%8D%97%E5%BA%97,0,0
小螺波 XIAO LUO BO 公館店,2022-08-24 08:10:03,0223629219,臺北市中正區羅斯福路三段284巷11號一樓,4.4,"3:11002100,4:11002100,5:11002100,6:11002100,7:11002100,1:11002100,2:11002100",https://ifoodie.tw/restaurant/616786f9a6272874909a1f19-%E5%B0%8F%E8%9E%BA%E6%B3%A2-XIAO-LUO-BO-%E5%85%AC%E9%A4%A8%E5%BA%97,0,0
阿薄郎薄皮餃子台式小酒館-台北二郎公館店 Uncle A-Bo-Lang Taiwan Bistro,2022-08-24 08:10:08,0223675033,臺北市中正區汀州路三段96號,4.2,"3:11301400,3:17302200,4:11301400,4:17302200,5:11301400,5:17000000,6:11301430,6:17000000,7:11301430,7:17000000,1:11301400,1:17302200,2:11301400,2:17302200",https://ifoodie.tw/restaurant/62fa4a267cc7fc20fa1be87d-%E9%98%BF%E8%96%84%E9%83%8E%E8%96%84%E7%9A%AE%E9%A4%83%E5%AD%90%E5%8F%B0%E5%BC%8F%E5%B0%8F%E9%85%92%E9%A4%A8-%E5%8F%B0%E5%8C%97%E4%BA%8C%E9%83%8E%E5%85%AC%E9%A4%A8%E5%BA%97,0,0
藍家割包,2022-08-24 08:10:12,0223682060,臺北市中正區羅斯福路三段316巷8弄3號,3.9,"3:11002300,4:11002300,5:11002300,6:11002300,7:11002300,2:11002300",https://ifoodie.tw/restaurant/559d7bc3c03a103ee86c7e94-%E8%97%8D%E5%AE%B6%E5%89%B2%E5%8C%85,0,0
