id,餐廳名稱,餐廳評價,餐廳地址,餐廳連結
25,黃家香腸,4.5,臺北市中正區泉州街32之3號,https://ifoodie.tw/restaurant/559d6be1c03a103ee86c7459-%E9%BB%83%E5%AE%B6%E9%A6%99%E8%85%B8
26,海享吃精緻鍋物,4.9,臺北市中正區中華路二段307巷8號,https://ifoodie.tw/restaurant/606e53a1cd995731e299e49f-%E6%B5%B7%E4%BA%AB%E5%90%83%E7%B2%BE%E7%B7%BB%E9%8D%8B%E7%89%A9
27,ponopono,4.8,臺北市中正區和平西路二段85之1號,https://ifoodie.tw/restaurant/61b74a237cc7fc14993bb45b-ponopono
28,耕莘魷魚羹,4.3,臺北市中正區汀州路三段75號,https://ifoodie.tw/restaurant/6331bebe658aba18a3daeaef-%E8%80%95%E8%8E%98%E9%AD%B7%E9%AD%9A%E7%BE%B9
29,泰正點,4.1,臺北市中正區汀州路三段166號,https://ifoodie.tw/restaurant/559de2f3c03a103ee86cbaf2-%E6%B3%B0%E6%AD%A3%E9%BB%9E
30,吳記南京板鴨-原李嘉興板鴨主廚,3.9,臺北市中正區羅斯福路二段44號,https://ifoodie.tw/restaurant/59f8bce72756dd05e9d6b01f-%E5%90%B3%E8%A8%98%E5%8D%97%E4%BA%AC%E6%9D%BF%E9%B4%A8-%E5%8E%9F%E6%9D%8E%E5%98%89%E8%88%88%E6%9D%BF%E9%B4%A8%E4%B8%BB%E5%BB%9A
31,郁坊小館,4.4,臺北市中正區延平南路163巷2號,https://ifoodie.tw/restaurant/559ddf0fc03a103ee86cb7eb-%E9%83%81%E5%9D%8A%E5%B0%8F%E9%A4%A8
32,金峰魯肉飯,3.5,臺北市中正區羅斯福路一段10號,https://ifoodie.tw/restaurant/559d18d3c03a103ee86c3de8-%E9%87%91%E5%B3%B0%E9%AD%AF%E8%82%89%E9%A3%AF
33,南機場夜市 橘太郎爆漿 雞蛋糕,4.5,臺北市中正區中華路二段313巷20號,https://ifoodie.tw/restaurant/632ec608baf6d316ba9bacbb-%E5%8D%97%E6%A9%9F%E5%A0%B4%E5%A4%9C%E5%B8%82-%E6%A9%98%E5%A4%AA%E9%83%8E%E7%88%86%E6%BC%BF-%E9%9B%9E%E8%9B%8B%E7%B3%95
34,陳男製菓工作室,4.9,臺北市中正區南昌路一段74巷9號1樓,https://ifoodie.tw/restaurant/632db4a37cc7fc29b4fa2f6c-%E9%99%B3%E7%94%B7%E8%A3%BD%E8%8F%93%E5%B7%A5%E4%BD%9C%E5%AE%A4
35,力量拉麵（公館店）,4.0,臺北市中正區汀州路三段160巷4之1號,https://ifoodie.tw/restaurant/632d2da9873d7968616dac34-%E5%8A%9B%E9%87%8F%E6%8B%89%E9%BA%B5%EF%BC%88%E5%85%AC%E9%A4%A8%E5%BA%97%EF%BC%89
36,藍象廷 台北站前店,4.8,台北市中正區忠孝西路一段66號號B1,https://ifoodie.tw/restaurant/626abdf5baf6d35b2fb13ec6-%E8%97%8D%E8%B1%A1%E5%BB%B7-%E5%8F%B0%E5%8C%97%E7%AB%99%E5%89%8D%E5%BA%97
37,青島豆漿店,4.2,臺北市中正區杭州南路一段139之3號,https://ifoodie.tw/restaurant/559d8365c03a103ee86c825d-%E9%9D%92%E5%B3%B6%E8%B1%86%E6%BC%BF%E5%BA%97
38,中原福州乾麵,4.3,臺北市中正區延平南路164號,https://ifoodie.tw/restaurant/559db89ac03a103ee86c9f23-%E4%B8%AD%E5%8E%9F%E7%A6%8F%E5%B7%9E%E4%B9%BE%E9%BA%B5
39,東門彈子房 ICE,4.7,臺北市中正區信義路二段87之4號,https://ifoodie.tw/restaurant/5bb0dcff2756dd3ce2381300-%E6%9D%B1%E9%96%80%E5%BD%88%E5%AD%90%E6%88%BF-ICE
40,大三元豆漿店,4.1,臺北市中正區寧波西街233號,https://ifoodie.tw/restaurant/559da095c03a103ee86c9259-%E5%A4%A7%E4%B8%89%E5%85%83%E8%B1%86%E6%BC%BF%E5%BA%97
41,雹仔豆花 鹽滷豆花,4.4,臺北市中正區臨沂街27巷9之4號,https://ifoodie.tw/restaurant/61504260cd9957072b538363-%E9%9B%B9%E4%BB%94%E8%B1%86%E8%8A%B1-%E9%B9%BD%E6%BB%B7%E8%B1%86%E8%8A%B1
42,菠蘿麵包 ぼろパン BOLO PAN,4.2,臺北市中正區公園路22之3號,https://ifoodie.tw/restaurant/5be598552756dd74fbf05829-%E8%8F%A0%E8%98%BF%E9%BA%B5%E5%8C%85-%E3%81%BC%E3%82%8D%E3%83%91%E3%83%B3-BOLO-PAN
43,CAFE de GEAR,4.1,台北市中正區寧波東街3-3號,https://ifoodie.tw/restaurant/56e42343699b6e23bfe53e3c-CAFE-de-GEAR
44,艋舺原汁排骨湯,4.4,臺北市中正區臨沂街56之1號,https://ifoodie.tw/restaurant/6328001482828734832c6d1d-%E8%89%8B%E8%88%BA%E5%8E%9F%E6%B1%81%E6%8E%92%E9%AA%A8%E6%B9%AF
45,東門赤肉羹,4.4,臺北市中正區臨沂街56號,https://ifoodie.tw/restaurant/559d8198c03a103ee86c819d-%E6%9D%B1%E9%96%80%E8%B5%A4%E8%82%89%E7%BE%B9
