store_name,create_time,phone_number,address,total_score,business_hour,distance,latitude_longitude,url,is_appointed_store,is_unknown_store
建中黑砂糖刨冰,2022-10-05 10:51:04,0223054750,臺北市中正區泉州街35號,4.1,"3:10301900,4:10301900,5:10301900,6:10301900,7:10301900,1:10301900,2:10301900",,,https://ifoodie.tw/restaurant/559d84f3c03a103ee86c831e-%E5%BB%BA%E4%B8%AD%E9%BB%91%E7%A0%82%E7%B3%96%E5%88%A8%E5%86%B0,0,0
微笑老蕭拉麵 (要等拉麵),2022-10-05 10:51:10,0918607561,臺北市中正區新生南路一段140巷5號,4.4,"3:11451400,3:18002030,4:11451400,4:18002030,5:11451400,5:18002030,2:11451400,2:18002030",,,https://ifoodie.tw/restaurant/59b42da92756dd0ea0b2c3bb-%E5%BE%AE%E7%AC%91%E8%80%81%E8%95%AD%E6%8B%89%E9%BA%B5-(%E8%A6%81%E7%AD%89%E6%8B%89%E9%BA%B5),0,0
韓天閣,2022-10-05 10:51:20,0223680788,臺北市中正區羅斯福路四段78巷1弄15號1樓,4.2,"3:11301430,3:17002130,4:11301430,4:17002130,5:11301430,5:17002130,6:11301430,6:17002130,7:11301430,7:17002130,1:11301430,1:17002130,2:11301430,2:17002130",,,https://ifoodie.tw/restaurant/55a5e717c03a102ec141562f-%E9%9F%93%E5%A4%A9%E9%96%A3,0,0
五草車中華食館 南昌店,2022-10-05 10:51:29,0223681950,臺北市中正區南昌路二段188號,4.0,"3:11002110,4:11002110,5:11002110,6:11002110,7:11002110,1:11002110,2:11002110",,,https://ifoodie.tw/restaurant/56561e6d2756dd1d7a1b03e7-%E4%BA%94%E8%8D%89%E8%BB%8A%E4%B8%AD%E8%8F%AF%E9%A3%9F%E9%A4%A8-%E5%8D%97%E6%98%8C%E5%BA%97,0,0
OnlyToast偷吃吐司專賣店,2022-10-05 10:51:43,0223379399,臺北市中正區中華路二段303巷1號,4.2,"3:06001400,4:06001400,5:06001400,6:06001500,7:06001500,1:06001400,2:06001400",,,https://ifoodie.tw/restaurant/5d2d8ecbd6895d31b902cbe6-OnlyToast%E5%81%B7%E5%90%83%E5%90%90%E5%8F%B8%E5%B0%88%E8%B3%A3%E5%BA%97,0,0
福井麵疙瘩,2022-10-05 10:51:48,0223519136,臺北市中正區寧波西街87之1號,4.3,"3:11001400,3:17002000,4:11001400,4:17002000,5:11001400,5:17002000,6:11001430,6:17002000,1:11001400,1:17002000,2:11001400,2:17002000",,,https://ifoodie.tw/restaurant/559d31fbc03a103ee86c4e8b-%E7%A6%8F%E4%BA%95%E9%BA%B5%E7%96%99%E7%98%A9,0,0
JBA 職人專研 冷凍舒肥專賣,2022-10-05 10:51:53,0223652625,臺北市中正區羅斯福路四段50之1號1樓,4.8,"3:10301300,3:14301800,4:10301300,4:14301800,5:10301300,5:14301800,1:10301300,1:14301800,2:10301300,2:14301800",,,https://ifoodie.tw/restaurant/6214a3d7cd9957690d2aee0b-JBA-%E8%81%B7%E4%BA%BA%E5%B0%88%E7%A0%94-%E5%86%B7%E5%87%8D%E8%88%92%E8%82%A5%E5%B0%88%E8%B3%A3,0,0
曉迪筒仔米糕,2022-10-05 10:51:58,0935297218,臺北市中正區中華路二段307巷,4.2,"3:11302230,4:11302230,5:11302230,7:11302230,1:11302230,2:11302230",,,https://ifoodie.tw/restaurant/58f3b20b2756dd059715f6ec-%E6%9B%89%E8%BF%AA%E7%AD%92%E4%BB%94%E7%B1%B3%E7%B3%95,0,0
泗元碳烤,2022-10-05 10:52:02,999,臺北市中正區中華路二段311巷21號前,3.5,,,,https://ifoodie.tw/restaurant/574d921f2756dd2cd0c18e25-%E6%B3%97%E5%85%83%E7%A2%B3%E7%83%A4,0,0
古北饕Goodbeitao_旗艦店,2022-10-05 10:52:07,0223510050,臺北市中正區杭州南路一段9號,4.9,"3:11002100,4:11002100,5:11002100,6:11002100,7:11002100,1:11002100,2:11002100",,,https://ifoodie.tw/restaurant/633a4cbb658aba05578ff837-%E5%8F%A4%E5%8C%97%E9%A5%95Goodbeitao_%E6%97%97%E8%89%A6%E5%BA%97,0,0
Burger Yellow,2022-10-05 10:52:20,0223888948,臺北市中正區南陽街38巷2號,4.5,"3:00000400,3:16300000,4:00000400,4:16300000,5:00000400,5:16300000,6:00000400,6:16300000,7:16300000,7:00000400,1:16300000,2:16300000",,,https://ifoodie.tw/restaurant/617d51f8781cc0564f5010d9-Burger-Yellow,0,0
