store_name,address,Latitude,Longitude
客美多咖啡 Komeda‘s Coffee 台北站前店,臺北市中正區忠孝西路一段36號1樓,25.0459993,121.5170414
魔法咖哩Magic Curry,臺北市中正區忠孝西路一段38號B1,25.0462341,121.5164145
何家甜品鋪-剉冰雪花冰(公館汀州),臺北市中正區汀州路三段124號1樓,25.0139872,121.5336346
大戶屋 微風北車店,臺北市中正區北平西路3號2樓,25.0477467,121.5169983
生活在他方 elsewhere cafe,臺北市中正區重慶南路三段5號,25.029288,121.515624
老王記牛肉麵,臺北市中正區桃源街15號,25.0416805,121.510559
樺林乾麵,臺北市中正區中華路一段91巷15號,25.0378876,121.508031
ALL DAY ROASTING COMPANY 師大店,臺北市中正區師大路177號,25.02067,121.526735
菠蘿麵包 ぼろパン BOLO PAN 公館店,臺北市中正區羅斯福路四段80號,25.0141602,121.5346822
阜杭豆漿,臺北市中正區忠孝東路一段108號2樓,25.043898,121.524815
蘭苑私廚 Orchid Court,臺北市中正區金華街30巷1號,25.0313307,121.5208675
大杵臼 ส้มตําครกยักษ์,臺北市中正區思源街1號『公館水岸廣場』,25.0112512,121.5284012
同心大腸蚵仔麵線,臺北市中正區同安街16號,25.025303,121.5223845
無名鹹粥,臺北市中正區汀州路一段90號,25.0302335,121.5074704
楊記潤餅,台北市中正區羅斯福路四段108巷2號,25.0132934,121.5353407
龍記搶鍋麵,臺北市中正區衡陽路84巷5號,25.0420479,121.5109083
上村牧場 微風北車店,臺北市中正區北平西路3號2樓,25.0477467,121.5169983
石研室 石頭火鍋 和億北車店,臺北市中正區忠孝西路一段36號和億北車站B1F,25.0460066,121.5169442
Simple Kaffa 興波咖啡旗艦店,臺北市中正區忠孝東路二段27號,25.043916,121.527809
一派胡塩 酵素臭豆腐 萬大店,臺北市中正區萬大路86號,25.030482,121.5003764
Kakigori Toshihiko,台北市中正區金門街2-2號,25.0231297,121.5248452
雙月食品社 青島店,臺北市中正區青島東路6之2號,25.0437017,121.5220376
原來上海,臺北市中正區仁愛路一段17號,25.0391392,121.5222359
Vice Versa Wineshop & Kitchen,臺北市中正區廈門街94號,25.0241662,121.51736
93番茄牛肉麵,臺北市中正區青島東路3之2號,25.0438201,121.5225368
東東好生活,臺北市中正區齊東街76號,25.0417384,121.5276255
墨洋拉麵,臺北市中正區羅斯福路四段136巷10號,25.0125938,121.5354431
雞肉本家,臺北市中正區八德路一段82巷9弄22號,25.0434556,121.5314877
溫咖哩 Wen Curry,臺北市中正區濟南路二段3號之八,25.0415863,121.52656
臭老闆現蒸臭豆腐-本店,臺北市中正區中華路二段313巷6號,25.0281299,121.5061454
瓦崎燒烤火鍋 公館店,臺北市中正區羅斯福路四段24巷5號,25.0153269,121.5328445
蚵仔麵線佳鑫檸檬,臺北市中正區泉州街32之2號,25.0259953,121.5135301
青島排骨便當,臺北市中正區青島東路3號之3,25.0440657,121.5216022
太陽蕃茄拉麵,臺北市中正區忠孝西路一段38號B1樓,25.0462341,121.5164145
豬肝榮仔 南機場直營店,臺北市中正區中華路二段313巷10號,25.0282027,121.5062395
青鳥Bleu&Book,台北市八德路一段1號,25.0432788,121.5293005
松青潤餅,臺北市中正區中華路二段311巷4號,25.0283108,121.5058832
豆味行,臺北市中正區南昌路一段64號,25.0312586,121.5170622
台北凱撒大飯店,臺北市中正區忠孝西路一段38號,25.0460991,121.5162582
B-Line By A Train,台北市中正區忠孝東路二段104號2樓,25.0426694,121.5307428
30 ice cream,臺北市中正區市民大道一段100號臺北地下街Y22入口處,25.0495017,121.5136386
uPoke 夏威夷生魚飯 水源門市,臺北市中正區思源街16號,25.0137039,121.5283471
曼德樂泰式料理,臺北市中正區汀州路三段239號,25.01392,121.534102
SHAPE2GO,臺北市中正區青島東路25之2號,25.043342,121.5245359
小螺波 XIAO LUO BO 公館店,臺北市中正區羅斯福路三段284巷11號一樓,25.0161115,121.5317046
純愛小吃部 Pure Love Diner Bar,臺北市中正區汀州路三段104巷9號,25.0138878,121.5334094
十二廚 (喜來登大飯店),臺北市中正區忠孝東路一段12號,25.0445802,121.5224401
彼得好咖啡（南門店）Peter Better Cafe,臺北市中正區羅斯福路一段24號,25.0315867,121.5188579
三鱻食堂,臺北市中正區濟南路二段58之3號,25.0401596,121.5317959
金家飯捲 KOREA GIMBAP 김가김밥,臺北市中正區金門街2之3號,25.0216899,121.523113
BAC Cake & Sweets,臺北市中正區忠孝西路一段38號,25.0460991,121.5162582
Chirle Brown 查理布朗烘焙 微風北車店,臺北市中正區北平西路3號,25.0473199,121.5160463
北棲 邸家,臺北市中正區忠孝東路二段40號,25.0433978,121.5280424
金雞園,臺北市中正區羅斯福路三段316巷8弄3之1號,25.0156061,121.5326131
陳記燒臘,臺北市中正區濟南路二段62巷3號,25.03982,121.5320925
偷飯賊 微風台北車站店,臺北市中正區北平西路3號微風臺北車站店2樓,25.0473866,121.5167338
華山-合掌村,臺北市中正區忠孝東路一段108號1樓,25.0439297,121.52488
初面,臺北市中正區信陽街30號,25.0445044,121.5153424
晉江茶堂,臺北市中正區晉江街1號,25.0264156,121.5211193
隱家拉麵 公館店,臺北市中正區羅斯福路四段52巷1之1號,25.0147431,121.5334062
首爾之家,臺北市中正區羅斯福路三段244巷10弄14號,25.0159906,121.5313533
小隱茶庵,臺北市中正區杭州南路一段143巷12之1號,25.0359438,121.5254682
劉媽媽飯糰,臺北市中正區杭州南路二段88號,25.0294057,121.5218533
城中市場老牌牛肉拉麵大王,臺北市中正區重慶南路一段46巷7號,25.044524,121.5126185
明星咖啡館,臺北市中正區武昌街一段5號2樓,25.044216,121.512783
有飲 Youin 創意飲品 台北公館店,臺北市中正區汀州路三段221號,25.014104,121.533866
辛殿麻辣鍋 公館店,臺北市中正區羅斯福路三段316巷9弄1號,25.0155646,121.5318506
旨燕,臺北市中正區開封街一段90號,25.0459023,121.5103926
素食地瓜球,臺北市中正區羅斯福路四段108巷8之1號,25.0131352,121.5350312
小木斑馬 Brunch & coffee,臺北市中正區羅斯福路二段66巷16號,25.0274835,121.5211246
楽坡BonBox - 台北站前店 / 樂坡舒肥健康餐盒,臺北市中正區信陽街26之1號,25.0444759,121.5154778
Louisa Coffee 路易莎咖啡(忠孝善導寺門市),臺北市中正區忠孝東路一段148號,25.0440206,121.5256897
如意黑糖挫冰,臺北市中正區中華路二段313巷35號,25.0288315,121.5067818
魚君 さかなくん 海鮮公有市場,臺北市中正區金山南路一段35號,25.03989,121.5291646
東石小館,台北市中正區汀州路三段168號,25.0132791,121.5345966
維都 公館店,臺北市中正區羅斯福路三段244巷13號,25.0167608,121.5306069
華國早餐店,臺北市中正區青島東路23號,25.0434214,121.5242942
古北饕,臺北市中正區金門街1之6號,25.0212346,121.5230208
