store_name,create_time,phone_number,address,total_score,business_hour,distance,latitude_longitude,url,is_appointed_store,is_unknown_store
CAFE de GEAR,2022-09-07 23:57:40,0223563389,台北市中正區寧波東街3-3號,4.1,"3:11001930,4:11001930,5:11001930,6:11001930,7:11001930,1:11001930,2:11001930","正門:1227m,後門:1308m,側門:1331m","25.032287,121.519729",https://ifoodie.tw/restaurant/56e42343699b6e23bfe53e3c-CAFE-de-GEAR,0,0
蘭苑私廚 Orchid Court,2022-09-07 23:57:54,0933216231,臺北市中正區金華街30巷1號,4.2,"3:11301430,3:17302130,4:11301430,4:17302130,5:11301430,5:17302130,6:11301430,6:17302130,7:11301430,7:17302130,1:11301430,1:17302130,2:11301430,2:17302130","正門:1275m,後門:1370m,側門:1379m","25.031342,121.520787",https://ifoodie.tw/restaurant/5d52d0dd22613965237f6142-%E8%98%AD%E8%8B%91%E7%A7%81%E5%BB%9A-Orchid-Court,0,0
龍記搶鍋麵,2022-09-07 23:59:33,0223822057,臺北市中正區衡陽路84巷5號,4.0,"3:10301340,3:16301920,4:10301340,4:16301920,5:10301340,5:16301920,1:10301340,1:16301920,2:10301340,2:16301920","正門:1480m,後門:1409m,側門:1534m","25.041854,121.510941",https://ifoodie.tw/restaurant/559d3e28c03a103ee86c5635-%E9%BE%8D%E8%A8%98%E6%90%B6%E9%8D%8B%E9%BA%B5,0,0
同心大腸蚵仔麵線,2022-09-08 00:00:21,0223620511,臺北市中正區同安街16號,4.3,"4:11002200,5:11002200,6:11002200,7:11002200,1:11002200,2:11002200,3:11002200","正門:1876m,後門:1992m,側門:1975m","25.025333,121.522369",https://ifoodie.tw/restaurant/56019a012756dd161830ba82-%E5%90%8C%E5%BF%83%E5%A4%A7%E8%85%B8%E8%9A%B5%E4%BB%94%E9%BA%B5%E7%B7%9A,0,0
大杵臼 ส้มตําครกยักษ์,2022-09-08 00:00:35,0971765191,臺北市中正區思源街1號『公館水岸廣場』,4.6,"4:00000200,4:17100000,5:00000200,5:17100000,6:00000200,6:17100000,7:17100000,7:00000200,1:00000200,3:17100000","正門:3191m,後門:3332m,側門:3274m","25.013616,121.530569",https://ifoodie.tw/restaurant/6315f9687cc7fc70961e6be6-%E5%A4%A7%E6%9D%B5%E8%87%BC-%E0%B8%AA%E0%B9%89%E0%B8%A1%E0%B8%95%E0%B9%8D%E0%B8%B2%E0%B8%84%E0%B8%A3%E0%B8%81%E0%B8%A2%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B9%8C,0,0
ALL DAY ROASTING COMPANY 師大店,2022-09-08 00:01:05,0223678977,臺北市中正區師大路177號,4.6,"4:10001800,5:10001800,6:10001800,7:10001800,1:10001800,2:10001800,3:10001800","正門:2361m,後門:2495m,側門:2451m","25.020741,121.526726",https://ifoodie.tw/restaurant/6315bd67cd99575bba202d13-ALL-DAY-ROASTING-COM,0,0
無名鹹粥,2022-09-08 00:01:27,0937521095,臺北市中正區汀州路一段90號,4.0,"4:06001330,5:06001330,6:06001400,7:06001400,1:06001330,2:06001330,3:06001330","正門:2250m,後門:2264m,側門:2344m","25.030363,121.50733",https://ifoodie.tw/restaurant/559da0f7c03a103ee86c9281-%E7%84%A1%E5%90%8D%E9%B9%B9%E7%B2%A5,0,0
上村牧場 微風北車店,2022-09-08 00:01:52,0223115592,臺北市中正區北平西路3號2樓,3.8,"4:10002200,5:10002200,6:10002200,7:10002200,1:10002200,2:10002200,3:10002200","正門:1045m,後門:910m,側門:1041m","25.047203,121.517044",https://ifoodie.tw/restaurant/5fb26cce8c906d7b09b87ba4-%E4%B8%8A%E6%9D%91%E7%89%A7%E5%A0%B4-%E5%BE%AE%E9%A2%A8%E5%8C%97%E8%BB%8A%E5%BA%97,0,0
石研室 石頭火鍋 和億北車店,2022-09-08 00:02:29,0223715580,臺北市中正區忠孝西路一段36號和億北車站B1F,4.3,"4:11002030,5:11002100,6:11002100,7:11002030,1:11002030,2:11002030,3:11002030","正門:981m,後門:854m,側門:988m","25.046076,121.517036",https://ifoodie.tw/restaurant/5a7ab42d2756dd7bff171eec-%E7%9F%B3%E7%A0%94%E5%AE%A4-%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B-%E5%92%8C%E5%84%84%E5%8C%97%E8%BB%8A%E5%BA%97,0,0
雙月食品社 濟南店,2022-09-08 00:02:42,0233938952,臺北市中正區濟南路一段7號1樓,4.8,"4:11001400,4:17002000,5:11001400,5:17002000,6:11001400,6:17002000,7:11001400,7:17002000,1:11001400,1:17002000,2:11001400,2:17002000,3:11001400,3:17002000","正門:387m,後門:300m,側門:427m","25.042741,121.521888",https://ifoodie.tw/restaurant/5ec1f71e22613912d02802af-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E6%BF%9F%E5%8D%97%E5%BA%97,0,0
Simple Kaffa 興波咖啡旗艦店,2022-09-08 00:02:55,0233221888,臺北市中正區忠孝東路二段27號,4.2,"4:10001700,5:10001700,6:10001700,7:10001700,1:10001700,2:10001700,3:10001700","正門:311m,後門:312m,側門:212m","25.043906,121.527796",https://ifoodie.tw/restaurant/5ca3145223679c626fa63ead-Simple-Kaffa-%E8%88%88%E6%B3%A2%E5%92%96%E5%95%A1%E6%97%97%E8%89%A6%E5%BA%97,0,0
一派胡塩 酵素臭豆腐 萬大店,2022-09-08 00:03:14,0953933507,臺北市中正區萬大路86號,4.4,"5:11302030,6:11302030,7:11302030,1:11302030,2:11302030,3:11302030","正門:2849m,後門:2840m,側門:2935m","25.030449,121.500376",https://ifoodie.tw/restaurant/61a34962cd99576a02f1a468-%E4%B8%80%E6%B4%BE%E8%83%A1%E5%A1%A9-%E9%85%B5%E7%B4%A0%E8%87%AD%E8%B1%86%E8%85%90-%E8%90%AC%E5%A4%A7%E5%BA%97,0,0
Kakigori Toshihiko,2022-09-08 00:03:43,999,台北市中正區金門街2-2號,4.5,"4:13002000,5:13002000,6:13002000,7:13002000,2:13002000,3:13002000","正門:2090m,後門:2217m,側門:2184m","25.023175,121.524716",https://ifoodie.tw/restaurant/5b70f36322613929e502b71c-Kakigori-Toshihiko,0,0
雙月食品社 青島店,2022-09-08 00:04:09,0233938953,臺北市中正區青島東路6之2號,4.6,"4:11001400,4:17002000,5:11001400,5:17002000,6:11001400,6:17002000,1:11001400,1:17002000,2:11001400,2:17002000,3:11001400,3:17002000","正門:425m,後門:304m,側門:438m","25.043765,121.521924",https://ifoodie.tw/restaurant/55de00d72756dd6eac5c52d3-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E9%9D%92%E5%B3%B6%E5%BA%97,0,0
魔法咖哩Magic Curry,2022-09-08 00:04:40,0223886298,臺北市中正區忠孝西路一段38號B1,4.1,"4:11001430,4:17002030,5:11001430,5:17002030,6:11002030,7:11002030,1:11001430,1:17002030,2:11001430,2:17002030,3:11001430,3:17002030","正門:1046m,後門:920m,側門:1053m","25.046254,121.516417",https://ifoodie.tw/restaurant/5654345b2756dd1f85c55094-%E9%AD%94%E6%B3%95%E5%92%96%E5%93%A9Magic-Curry,0,0
