id,餐廳名稱,餐廳評價,餐廳地址,餐廳連結
1,CAFE de GEAR,4.1,台北市中正區寧波東街3-3號,https://ifoodie.tw/restaurant/56e42343699b6e23bfe53e3c-CAFE-de-GEAR
2,蘭苑私廚 Orchid Court,4.2,臺北市中正區金華街30巷1號,https://ifoodie.tw/restaurant/5d52d0dd22613965237f6142-%E8%98%AD%E8%8B%91%E7%A7%81%E5%BB%9A-Orchid-Court
3,龍記搶鍋麵,4.0,臺北市中正區衡陽路84巷5號,https://ifoodie.tw/restaurant/559d3e28c03a103ee86c5635-%E9%BE%8D%E8%A8%98%E6%90%B6%E9%8D%8B%E9%BA%B5
4,同心大腸蚵仔麵線,4.3,臺北市中正區同安街16號,https://ifoodie.tw/restaurant/56019a012756dd161830ba82-%E5%90%8C%E5%BF%83%E5%A4%A7%E8%85%B8%E8%9A%B5%E4%BB%94%E9%BA%B5%E7%B7%9A
5,大杵臼 ส้มตําครกยักษ์,4.6,臺北市中正區思源街1號『公館水岸廣場』,https://ifoodie.tw/restaurant/6315f9687cc7fc70961e6be6-%E5%A4%A7%E6%9D%B5%E8%87%BC-%E0%B8%AA%E0%B9%89%E0%B8%A1%E0%B8%95%E0%B9%8D%E0%B8%B2%E0%B8%84%E0%B8%A3%E0%B8%81%E0%B8%A2%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B9%8C
6,ALL DAY ROASTING COMPANY 師大店,4.6,臺北市中正區師大路177號,https://ifoodie.tw/restaurant/6315bd67cd99575bba202d13-ALL-DAY-ROASTING-COM
7,無名鹹粥,4.0,臺北市中正區汀州路一段90號,https://ifoodie.tw/restaurant/559da0f7c03a103ee86c9281-%E7%84%A1%E5%90%8D%E9%B9%B9%E7%B2%A5
8,上村牧場 微風北車店,3.8,臺北市中正區北平西路3號2樓,https://ifoodie.tw/restaurant/5fb26cce8c906d7b09b87ba4-%E4%B8%8A%E6%9D%91%E7%89%A7%E5%A0%B4-%E5%BE%AE%E9%A2%A8%E5%8C%97%E8%BB%8A%E5%BA%97
9,石研室 石頭火鍋 和億北車店,4.3,臺北市中正區忠孝西路一段36號和億北車站B1F,https://ifoodie.tw/restaurant/5a7ab42d2756dd7bff171eec-%E7%9F%B3%E7%A0%94%E5%AE%A4-%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B-%E5%92%8C%E5%84%84%E5%8C%97%E8%BB%8A%E5%BA%97
10,雙月食品社 濟南店,4.8,臺北市中正區濟南路一段7號1樓,https://ifoodie.tw/restaurant/5ec1f71e22613912d02802af-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E6%BF%9F%E5%8D%97%E5%BA%97
11,Simple Kaffa 興波咖啡旗艦店,4.2,臺北市中正區忠孝東路二段27號,https://ifoodie.tw/restaurant/5ca3145223679c626fa63ead-Simple-Kaffa-%E8%88%88%E6%B3%A2%E5%92%96%E5%95%A1%E6%97%97%E8%89%A6%E5%BA%97
12,一派胡塩 酵素臭豆腐 萬大店,4.4,臺北市中正區萬大路86號,https://ifoodie.tw/restaurant/61a34962cd99576a02f1a468-%E4%B8%80%E6%B4%BE%E8%83%A1%E5%A1%A9-%E9%85%B5%E7%B4%A0%E8%87%AD%E8%B1%86%E8%85%90-%E8%90%AC%E5%A4%A7%E5%BA%97
13,Kakigori Toshihiko,4.5,台北市中正區金門街2-2號,https://ifoodie.tw/restaurant/5b70f36322613929e502b71c-Kakigori-Toshihiko
14,雙月食品社 青島店,4.6,臺北市中正區青島東路6之2號,https://ifoodie.tw/restaurant/55de00d72756dd6eac5c52d3-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E9%9D%92%E5%B3%B6%E5%BA%97
15,魔法咖哩Magic Curry,4.1,臺北市中正區忠孝西路一段38號B1,https://ifoodie.tw/restaurant/5654345b2756dd1f85c55094-%E9%AD%94%E6%B3%95%E5%92%96%E5%93%A9Magic-Curry
