date,reviews
2022/06/27,"瓦崎燒烤火鍋-公館店~平價燒肉.火鍋吃到飽,頂級嚴選材,嘉士伯生啤酒、哈根達斯無限供應,大安區最高CP值！"
2021/09/08,公館燒烤吃到飽-瓦崎燒烤火鍋搬家啦~火烤兩吃+天使紅蝦.生蠔.安格斯黑牛.生啤無限暢飲
2019/11/18,還行
2017/05/30,服務超爛！服務人員臉不知道再臭幾點的！加點菜單還會用不見！死也不會再來第二次！
