date,reviews
2022/06/28,好評不斷 繼續延長｜喜來登 桃山日本料理 Momoyama 鍋物放題 美國翼板牛松阪豬肉吃到飽 加碼再送半隻龍蝦
2022/06/22,台北喜來登桃山日本料理｜無限壽喜燒火鍋吃到飽菜單.龍蝦和風蒸京都風包廂
2022/06/20,桃山日本料理鍋物放題不只吃到飽，還吃得很精緻！
2022/03/24,善導寺站美｜台北喜來登大飯店-桃山日本料理，Omakase無菜單料理，菜單價位
2022/03/18,Momoyama 桃山-台北喜來登 無菜單日本料理 懷石料理 中正區善導寺 
2019/04/30,桃山日式餐廳 – 喜來登飯店 五星級日本料理
