id,餐廳名稱,餐廳評價,餐廳地址,餐廳連結
1,小魏川菜餐廳,4.1,臺北市中正區公園路13號3樓,https://ifoodie.tw/restaurant/55a530a8c03a10241de65010-%E5%B0%8F%E9%AD%8F%E5%B7%9D%E8%8F%9C%E9%A4%90%E5%BB%B3
2,農人餐桌 親子餐廳,4.1,台北市重慶南路二段51號,https://ifoodie.tw/restaurant/56f188c72756dd2c2bf09942-%E8%BE%B2%E4%BA%BA%E9%A4%90%E6%A1%8C-%E8%A6%AA%E5%AD%90%E9%A4%90%E5%BB%B3
3,台大胖妞冰店,4.4,臺北市中正區林森南路。徐州路18巷口,https://ifoodie.tw/restaurant/63247a047cc7fc29b4ded441-%E5%8F%B0%E5%A4%A7%E8%83%96%E5%A6%9E%E5%86%B0%E5%BA%97
4,大三元豆漿店,4.1,臺北市中正區寧波西街233號,https://ifoodie.tw/restaurant/559da095c03a103ee86c9259-%E5%A4%A7%E4%B8%89%E5%85%83%E8%B1%86%E6%BC%BF%E5%BA%97
5,福丸早餐,4.4,臺北市中正區杭州南路一段131巷35之1號1樓,https://ifoodie.tw/restaurant/5e1342862756dd0e3c6eb05d-%E7%A6%8F%E4%B8%B8%E6%97%A9%E9%A4%90
6,YumYum 好吃好吃2號店,3.9,臺北市中正區羅斯福路三段316巷16號2樓,https://ifoodie.tw/restaurant/5dd358658c906d1ce32e9354-YumYum-%E5%A5%BD%E5%90%83%E5%A5%BD%E5%90%832%E8%99%9F%E5%BA%97
7,泰讚了 thai like tea 公館店,4.5,臺北市中正區羅斯福路三段286巷18號,https://ifoodie.tw/restaurant/632328a07cc7fc29b3e9fdde-%E6%B3%B0%E8%AE%9A%E4%BA%86-thai-like-tea-%E5%85%AC%E9%A4%A8
8,阿春涼麵,4.2,臺北市中正區中華路二段401號,https://ifoodie.tw/restaurant/592b11232756dd474fdd59af-%E9%98%BF%E6%98%A5%E6%B6%BC%E9%BA%B5
9,新東南海鮮餐廳,4.3,臺北市中正區汀州路一段105號,https://ifoodie.tw/restaurant/559d7dedc03a103ee86c7fce-%E6%96%B0%E6%9D%B1%E5%8D%97%E6%B5%B7%E9%AE%AE%E9%A4%90%E5%BB%B3
10,藍家割包,3.9,臺北市中正區羅斯福路三段316巷8弄3號,https://ifoodie.tw/restaurant/559d7bc3c03a103ee86c7e94-%E8%97%8D%E5%AE%B6%E5%89%B2%E5%8C%85
11,Coppii Lumii living coffee 冉冉生活 城中,4.2,臺北市中正區永綏街7號,https://ifoodie.tw/restaurant/61933a7c873d790429c1f093-Coppii-Lumii-living-
12,台北喜來登大飯店,4.3,臺北市中正區忠孝東路一段12號,https://ifoodie.tw/restaurant/62add20b7cc7fc525f4bfbf7-%E5%8F%B0%E5%8C%97%E5%96%9C%E4%BE%86%E7%99%BB%E5%A4%A7%E9%A3%AF%E5%BA%97
13,上海鄉村餐廳 濟南店,4.4,臺北市中正區濟南路二段37號,https://ifoodie.tw/restaurant/559d4f4cc03a103ee86c6160-%E4%B8%8A%E6%B5%B7%E9%84%89%E6%9D%91%E9%A4%90%E5%BB%B3-%E6%BF%9F%E5%8D%97%E5%BA%97
14,阿玉白糖粿,4.5,臺北市中正區新生南路一段12巷9弄5號,https://ifoodie.tw/restaurant/632086167cc7fc29b3e443c8-%E9%98%BF%E7%8E%89%E7%99%BD%E7%B3%96%E7%B2%BF
15,焦糖楓漢方無烟撒粉串燒 同安店,4.5,臺北市中正區同安街38號,https://ifoodie.tw/restaurant/5e3251618c906d5297beb578-%E7%84%A6%E7%B3%96%E6%A5%93%E6%BC%A2%E6%96%B9%E7%84%A1%E7%83%9F%E6%92%92%E7%B2%89%E4%B8%B2%E7%87%92-%E5%90%8C%E5%AE%89%E5%BA%97
