store_name,create_time,phone_number,address,total_score,business_hour,url,is_appointed_store,is_unknown_store
彼得好咖啡（南門店）Peter Better Cafe,2022-08-31 02:39:09,0223560232,臺北市中正區羅斯福路一段24號,4.3,"3:07151800,4:07151800,5:07151800,6:07151800,7:07151800,1:07151800,2:07151800",https://ifoodie.tw/restaurant/630779fa7cc7fc2c07d90a04-%E5%BD%BC%E5%BE%97%E5%A5%BD%E5%92%96%E5%95%A1%EF%BC%88%E5%8D%97%E9%96%80%E5%BA%97%EF%BC%89Peter-Bett,0,0
純愛小吃部 Pure Love Diner Bar,2022-08-31 02:39:14,0223675005,臺北市中正區汀州路三段104巷9號,4.4,"3:00000030,3:17300000,4:00000030,4:17300000,5:00000030,5:17300000,6:00000200,6:17300000,7:17300000,7:00000200,1:00000030,1:17300000,2:00000030,2:17300000",https://ifoodie.tw/restaurant/604a104c7cc7fc6018f8914a-%E7%B4%94%E6%84%9B%E5%B0%8F%E5%90%83%E9%83%A8-Pure-Love-Dine,0,0
小螺波 XIAO LUO BO 公館店,2022-08-31 02:39:21,0223629219,臺北市中正區羅斯福路三段284巷11號一樓,4.4,"3:11002100,4:11002100,5:11002100,6:11002100,7:11002100,1:11002100,2:11002100",https://ifoodie.tw/restaurant/616786f9a6272874909a1f19-%E5%B0%8F%E8%9E%BA%E6%B3%A2-XIAO-LUO-BO-%E5%85%AC%E9%A4%A8%E5%BA%97,0,0
十二廚 (喜來登大飯店),2022-08-31 02:39:26,0223211818,臺北市中正區忠孝東路一段12號,3.7,"3:06301000,3:11301400,3:15001700,3:18002100,4:06301000,4:11301400,4:15001700,4:18002100,5:06301000,5:11301400,5:15001700,5:18002100,6:06301000,6:11301400,6:15001700,6:18002100,7:06301000,7:11301400,7:15001700,7:18002100,1:06301000,1:11301400,1:15001700,1:18002100,2:06301000,2:11301400,2:15001700,2:18002100",https://ifoodie.tw/restaurant/559d4bc0c03a103ee86c5eb1-%E5%8D%81%E4%BA%8C%E5%BB%9A-(%E5%96%9C%E4%BE%86%E7%99%BB%E5%A4%A7%E9%A3%AF%E5%BA%97),0,0
三鱻壽司,2022-08-31 02:39:30,0223965056,臺北市中正區濟南路二段58之1號,4.2,"3:11301400,3:17152100,4:11301400,4:17152100,5:11301400,5:17152100,6:11201400,6:17152100,7:11201400,7:17152100,1:11301400,1:17152100,2:11301400,2:17152100",https://ifoodie.tw/restaurant/6305fa3c82828716c4f74ede-%E4%B8%89%E9%B1%BB%E5%A3%BD%E5%8F%B8,0,0
YumYum 好吃好吃2號店,2022-08-31 02:39:36,0223629538,臺北市中正區羅斯福路三段316巷16號2樓,3.9,"3:11301400,3:17302100,4:11301400,4:17302100,5:11301400,5:17302100,6:11301500,6:17002100,7:11301500,7:17002100,1:18002100,2:11301400,2:17302100",https://ifoodie.tw/restaurant/5dd358658c906d1ce32e9354-YumYum-%E5%A5%BD%E5%90%83%E5%A5%BD%E5%90%832%E8%99%9F%E5%BA%97,0,0
金家飯捲 KOREA GIMBAP 김가김밥,2022-08-31 02:39:42,0938808065,臺北市中正區金門街2之3號,4.6,"3:11001400,3:17002000,4:11001400,4:17002000,5:11001400,5:17002000,6:11001400,6:17002000,1:11001400,1:17002000,2:11001400,2:17002000",https://ifoodie.tw/restaurant/62fb9b707cc7fc67f86391de-%E9%87%91%E5%AE%B6%E9%A3%AF%E6%8D%B2-KOREA-GIMBAP-%EA%B9%80%EA%B0%80,0,0
石研室 石頭火鍋 和億北車店,2022-08-31 02:39:46,0223715580,臺北市中正區忠孝西路一段36號和億北車站B1F,4.3,"3:11002030,4:11002030,5:11002100,6:11002100,7:11002030,1:11002030,2:11002030",https://ifoodie.tw/restaurant/5a7ab42d2756dd7bff171eec-%E7%9F%B3%E7%A0%94%E5%AE%A4-%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B-%E5%92%8C%E5%84%84%E5%8C%97%E8%BB%8A%E5%BA%97,0,0
BAC Cake & Sweets,2022-08-31 02:39:52,0223881420,臺北市中正區忠孝西路一段38號,4.0,"3:11002100,4:11002100,5:11002100,6:11002100,7:11002100,1:11002100,2:11002100",https://ifoodie.tw/restaurant/559d3c83c03a103ee86c5505-BAC-Cake-%26-Sweets,0,0
Chirle Brown 查理布朗烘焙 微風北車店,2022-08-31 02:39:58,0223894682,臺北市中正區北平西路3號,3.2,"3:10002200,4:10002200,5:10002200,6:10002200,7:10002200,1:10002200,2:10002200",https://ifoodie.tw/restaurant/6304d6197cc7fc49bce00181-Chirle-Brown-%E6%9F%A5%E7%90%86%E5%B8%83%E6%9C%97%E7%83%98%E7%84%99-,0,0
雹仔豆花 鹽滷豆花,2022-08-31 02:40:04,0900771131,臺北市中正區臨沂街27巷9之4號,4.3,"3:11302100,4:11302100,5:11302100,6:11302100,7:11302100,1:11302100,2:11302100",https://ifoodie.tw/restaurant/61504260cd9957072b538363-%E9%9B%B9%E4%BB%94%E8%B1%86%E8%8A%B1-%E9%B9%BD%E6%BB%B7%E8%B1%86%E8%8A%B1,0,0
北棲 邸家,2022-08-31 02:40:09,0233433587,臺北市中正區忠孝東路二段40號,4.6,"3:11302000,4:11302100,5:11302100,6:11302100,7:11302100,1:11302000,2:11302000",https://ifoodie.tw/restaurant/613a3115cd99574a7ac1b7a5-%E5%8C%97%E6%A3%B2-%E9%82%B8%E5%AE%B6,0,0
Coppii Lumii living coffee 冉冉生活(城中),2022-08-31 02:40:15,0223818613,臺北市中正區永綏街7號,4.1,"3:09001800,4:09001800,5:09001800,6:09001800,7:09001800,1:09001800,2:09001800",https://ifoodie.tw/restaurant/61933a7c873d790429c1f093-Coppii-Lumii-living-,0,0
金雞園,2022-08-31 02:40:21,0223680698,臺北市中正區羅斯福路三段316巷8弄3之1號,3.7,"3:10002200,4:10002200,5:10002200,6:10002200,7:10002200,1:10002200,2:10002200",https://ifoodie.tw/restaurant/559d7cebc03a103ee86c7f14-%E9%87%91%E9%9B%9E%E5%9C%92,0,0
