id,餐廳名稱,餐廳評價,餐廳地址,餐廳連結
1,金雞園,3.7,臺北市中正區羅斯福路三段316巷8弄3之1號,https://ifoodie.tw/restaurant/559d7cebc03a103ee86c7f14-%E9%87%91%E9%9B%9E%E5%9C%92
2,陳記燒臘,4.3,臺北市中正區濟南路二段62巷3號,https://ifoodie.tw/restaurant/5caf4da72756dd4c1c074af9-%E9%99%B3%E8%A8%98%E7%87%92%E8%87%98
3,93番茄牛肉麵,4.3,臺北市中正區青島東路3之2號,https://ifoodie.tw/restaurant/59ff52d22756dd6f04e9d377-93%E7%95%AA%E8%8C%84%E7%89%9B%E8%82%89%E9%BA%B5
4,青島排骨便當,4.0,臺北市中正區青島東路3號之3,https://ifoodie.tw/restaurant/5676ee7f2756dd3d5552acd3-%E9%9D%92%E5%B3%B6%E6%8E%92%E9%AA%A8%E4%BE%BF%E7%95%B6
5,巧之味手工水餃,4.5,臺北市中正區濟南路二段6號,https://ifoodie.tw/restaurant/559d1509c03a103ee86c3b87-%E5%B7%A7%E4%B9%8B%E5%91%B3%E6%89%8B%E5%B7%A5%E6%B0%B4%E9%A4%83
6,華山-合掌村,4.5,臺北市中正區忠孝東路一段108號1樓,https://ifoodie.tw/restaurant/59bac4a32756dd5b884cfc1d-%E8%8F%AF%E5%B1%B1-%E5%90%88%E6%8E%8C%E6%9D%91
7,初面,4.6,臺北市中正區信陽街30號,https://ifoodie.tw/restaurant/5f4f99f9226139528e230e55-%E5%88%9D%E9%9D%A2
8,晉江茶堂,4.1,臺北市中正區晉江街1號,https://ifoodie.tw/restaurant/559ddf3dc03a103ee86cb80f-%E6%99%89%E6%B1%9F%E8%8C%B6%E5%A0%82
9,首爾之家,3.9,臺北市中正區羅斯福路三段244巷10弄14號,https://ifoodie.tw/restaurant/562926fd2756dd74707fbed7-%E9%A6%96%E7%88%BE%E4%B9%8B%E5%AE%B6
10,小隱茶庵,4.3,臺北市中正區杭州南路一段143巷12之1號,https://ifoodie.tw/restaurant/5e63c2298c906d6e5a562b2f-%E5%B0%8F%E9%9A%B1%E8%8C%B6%E5%BA%B5
11,隱家拉麵 公館店,4.3,臺北市中正區羅斯福路四段52巷1之1號,https://ifoodie.tw/restaurant/62a34a6c7cc7fc39581330d2-%E9%9A%B1%E5%AE%B6%E6%8B%89%E9%BA%B5-%E5%85%AC%E9%A4%A8%E5%BA%97
12,uPoke 夏威夷生魚飯 水源門市,4.8,臺北市中正區思源街16號,https://ifoodie.tw/restaurant/62256c5fa627280f927b8740-uPoke-%E5%A4%8F%E5%A8%81%E5%A4%B7%E7%94%9F%E9%AD%9A%E9%A3%AF-%E6%B0%B4%E6%BA%90%E9%96%80%E5%B8%82
13,劉媽媽飯糰,4.3,臺北市中正區杭州南路二段88號,https://ifoodie.tw/restaurant/559d35c3c03a103ee86c50d6-%E5%8A%89%E5%AA%BD%E5%AA%BD%E9%A3%AF%E7%B3%B0
14,瓦崎燒烤火鍋 公館店,4.0,臺北市中正區羅斯福路四段24巷5號,https://ifoodie.tw/restaurant/559d04e1c03a103ee86c3419-%E7%93%A6%E5%B4%8E%E7%87%92%E7%83%A4%E7%81%AB%E9%8D%8B-%E5%85%AC%E9%A4%A8%E5%BA%97
15,金家飯捲 KOREA GIMBAP 김가김밥,4.6,臺北市中正區金門街2之3號,https://ifoodie.tw/restaurant/62fb9b707cc7fc67f86391de-%E9%87%91%E5%AE%B6%E9%A3%AF%E6%8D%B2-KOREA-GIMBAP-%EA%B9%80%EA%B0%80
16,龍潭豆花,4.2,臺北市中正區汀州路三段239號,https://ifoodie.tw/restaurant/559d4851c03a103ee86c5cd5-%E9%BE%8D%E6%BD%AD%E8%B1%86%E8%8A%B1
17,城中市場老牌牛肉拉麵大王,4.2,臺北市中正區重慶南路一段46巷7號,https://ifoodie.tw/restaurant/55a5ff2ac03a102ec1415d9e-%E5%9F%8E%E4%B8%AD%E5%B8%82%E5%A0%B4%E8%80%81%E7%89%8C%E7%89%9B%E8%82%89%E6%8B%89%E9%BA%B5%E5%A4%A7%E7%8E%8B
18,有飲 Youin 創意飲品 台北公館店,4.1,臺北市中正區汀州路三段221號,https://ifoodie.tw/restaurant/6226c828a62728640af345d4-%E6%9C%89%E9%A3%B2-Youin-%E5%89%B5%E6%84%8F%E9%A3%B2%E5%93%81-%E5%8F%B0%E5%8C%97%E5%85%AC%E9%A4%A8%E5%BA%97
19,何家甜品鋪-剉冰雪花冰(公館汀州),4.4,臺北市中正區汀州路三段124號1樓,https://ifoodie.tw/restaurant/62abfa1f873d792aed2f2657-%E4%BD%95%E5%AE%B6%E7%94%9C%E5%93%81%E9%8B%AA-%E5%89%89%E5%86%B0%E9%9B%AA%E8%8A%B1%E5%86%B0(%E5%85%AC%E9%A4%A8%E6%B1%80%E5%B7%9E)
20,明星咖啡館,4.1,臺北市中正區武昌街一段5號2樓,https://ifoodie.tw/restaurant/559d3e78c03a103ee86c5667-%E6%98%8E%E6%98%9F%E5%92%96%E5%95%A1%E9%A4%A8
21,辛殿麻辣鍋 公館店,4.4,臺北市中正區羅斯福路三段316巷9弄1號,https://ifoodie.tw/restaurant/5f90fe0902935e35cd626b65-%E8%BE%9B%E6%AE%BF%E9%BA%BB%E8%BE%A3%E9%8D%8B-%E5%85%AC%E9%A4%A8%E5%BA%97
22,上海鄉村餐廳 濟南店,4.3,臺北市中正區濟南路二段37號,https://ifoodie.tw/restaurant/559d4f4cc03a103ee86c6160-%E4%B8%8A%E6%B5%B7%E9%84%89%E6%9D%91%E9%A4%90%E5%BB%B3-%E6%BF%9F%E5%8D%97%E5%BA%97
