title,date,tel,address,star,link
金雞園,2022-08-22 19:22:11,0223680698,臺北市中正區羅斯福路三段316巷8弄3之1號,3.7,https://ifoodie.tw/restaurant/559d7cebc03a103ee86c7f14-%E9%87%91%E9%9B%9E%E5%9C%92
陳記燒臘,2022-08-22 19:22:32,0223568283,臺北市中正區濟南路二段62巷3號,4.3,https://ifoodie.tw/restaurant/5caf4da72756dd4c1c074af9-%E9%99%B3%E8%A8%98%E7%87%92%E8%87%98
93番茄牛肉麵,2022-08-22 19:22:44,0223910367,臺北市中正區青島東路3之2號,4.3,https://ifoodie.tw/restaurant/59ff52d22756dd6f04e9d377-93%E7%95%AA%E8%8C%84%E7%89%9B%E8%82%89%E9%BA%B5
青島排骨便當,2022-08-22 19:22:56,0223577649,臺北市中正區青島東路3號之3,4.0,https://ifoodie.tw/restaurant/5676ee7f2756dd3d5552acd3-%E9%9D%92%E5%B3%B6%E6%8E%92%E9%AA%A8%E4%BE%BF%E7%95%B6
巧之味手工水餃,2022-08-22 19:23:03,0223214693,臺北市中正區濟南路二段6號,4.5,https://ifoodie.tw/restaurant/559d1509c03a103ee86c3b87-%E5%B7%A7%E4%B9%8B%E5%91%B3%E6%89%8B%E5%B7%A5%E6%B0%B4%E9%A4%83
華山-合掌村,2022-08-22 19:23:12,0976181829,臺北市中正區忠孝東路一段108號1樓,4.5,https://ifoodie.tw/restaurant/59bac4a32756dd5b884cfc1d-%E8%8F%AF%E5%B1%B1-%E5%90%88%E6%8E%8C%E6%9D%91
初面,2022-08-22 19:23:19,0223706706,臺北市中正區信陽街30號,4.6,https://ifoodie.tw/restaurant/5f4f99f9226139528e230e55-%E5%88%9D%E9%9D%A2
晉江茶堂,2022-08-22 19:23:26,0283691785,臺北市中正區晉江街1號,4.1,https://ifoodie.tw/restaurant/559ddf3dc03a103ee86cb80f-%E6%99%89%E6%B1%9F%E8%8C%B6%E5%A0%82
首爾之家,2022-08-22 19:23:33,0223681900,臺北市中正區羅斯福路三段244巷10弄14號,3.9,https://ifoodie.tw/restaurant/562926fd2756dd74707fbed7-%E9%A6%96%E7%88%BE%E4%B9%8B%E5%AE%B6
小隱茶庵,2022-08-22 19:23:39,0223435859,臺北市中正區杭州南路一段143巷12之1號,4.3,https://ifoodie.tw/restaurant/5e63c2298c906d6e5a562b2f-%E5%B0%8F%E9%9A%B1%E8%8C%B6%E5%BA%B5
隱家拉麵 公館店,2022-08-22 19:23:46,0223684555,臺北市中正區羅斯福路四段52巷1之1號,4.3,https://ifoodie.tw/restaurant/62a34a6c7cc7fc39581330d2-%E9%9A%B1%E5%AE%B6%E6%8B%89%E9%BA%B5-%E5%85%AC%E9%A4%A8%E5%BA%97
uPoke 夏威夷生魚飯 水源門市,2022-08-22 19:23:53,0223688756,臺北市中正區思源街16號,4.8,https://ifoodie.tw/restaurant/62256c5fa627280f927b8740-uPoke-%E5%A4%8F%E5%A8%81%E5%A4%B7%E7%94%9F%E9%AD%9A%E9%A3%AF-%E6%B0%B4%E6%BA%90%E9%96%80%E5%B8%82
劉媽媽飯糰,2022-08-22 19:24:02,0233936915,臺北市中正區杭州南路二段88號,4.3,https://ifoodie.tw/restaurant/559d35c3c03a103ee86c50d6-%E5%8A%89%E5%AA%BD%E5%AA%BD%E9%A3%AF%E7%B3%B0
瓦崎燒烤火鍋 公館店,2022-08-22 19:24:10,0223690696,臺北市中正區羅斯福路四段24巷5號,4.0,https://ifoodie.tw/restaurant/559d04e1c03a103ee86c3419-%E7%93%A6%E5%B4%8E%E7%87%92%E7%83%A4%E7%81%AB%E9%8D%8B-%E5%85%AC%E9%A4%A8%E5%BA%97
金家飯捲 KOREA GIMBAP 김가김밥,2022-08-22 19:24:18,0938808065,臺北市中正區金門街2之3號,4.6,https://ifoodie.tw/restaurant/62fb9b707cc7fc67f86391de-%E9%87%91%E5%AE%B6%E9%A3%AF%E6%8D%B2-KOREA-GIMBAP-%EA%B9%80%EA%B0%80
城中市場老牌牛肉拉麵大王,2022-08-22 19:25:03,0223815604,臺北市中正區重慶南路一段46巷7號,4.2,https://ifoodie.tw/restaurant/55a5ff2ac03a102ec1415d9e-%E5%9F%8E%E4%B8%AD%E5%B8%82%E5%A0%B4%E8%80%81%E7%89%8C%E7%89%9B%E8%82%89%E6%8B%89%E9%BA%B5%E5%A4%A7%E7%8E%8B
有飲 Youin 創意飲品 台北公館店,2022-08-22 19:25:15,0223680899,臺北市中正區汀州路三段221號,4.1,https://ifoodie.tw/restaurant/6226c828a62728640af345d4-%E6%9C%89%E9%A3%B2-Youin-%E5%89%B5%E6%84%8F%E9%A3%B2%E5%93%81-%E5%8F%B0%E5%8C%97%E5%85%AC%E9%A4%A8%E5%BA%97
何家甜品鋪-剉冰雪花冰(公館汀州),2022-08-22 19:25:27,0902115871,臺北市中正區汀州路三段124號1樓,4.4,https://ifoodie.tw/restaurant/62abfa1f873d792aed2f2657-%E4%BD%95%E5%AE%B6%E7%94%9C%E5%93%81%E9%8B%AA-%E5%89%89%E5%86%B0%E9%9B%AA%E8%8A%B1%E5%86%B0(%E5%85%AC%E9%A4%A8%E6%B1%80%E5%B7%9E)
明星咖啡館,2022-08-22 19:25:37,0223815589,臺北市中正區武昌街一段5號2樓,4.1,https://ifoodie.tw/restaurant/559d3e78c03a103ee86c5667-%E6%98%8E%E6%98%9F%E5%92%96%E5%95%A1%E9%A4%A8
辛殿麻辣鍋 公館店,2022-08-22 19:25:47,0277337667,臺北市中正區羅斯福路三段316巷9弄1號,4.4,https://ifoodie.tw/restaurant/5f90fe0902935e35cd626b65-%E8%BE%9B%E6%AE%BF%E9%BA%BB%E8%BE%A3%E9%8D%8B-%E5%85%AC%E9%A4%A8%E5%BA%97
上海鄉村餐廳 濟南店,2022-08-22 19:25:56,0223223333,臺北市中正區濟南路二段37號,4.3,https://ifoodie.tw/restaurant/559d4f4cc03a103ee86c6160-%E4%B8%8A%E6%B5%B7%E9%84%89%E6%9D%91%E9%A4%90%E5%BB%B3-%E6%BF%9F%E5%8D%97%E5%BA%97
小螺波 XIAO LUO BO 公館店,2022-08-22 19:26:05,0223629219,臺北市中正區羅斯福路三段284巷11號一樓,4.3,https://ifoodie.tw/restaurant/616786f9a6272874909a1f19-%E5%B0%8F%E8%9E%BA%E6%B3%A2-XIAO-LUO-BO-%E5%85%AC%E9%A4%A8%E5%BA%97
阿薄郎薄皮餃子台式小酒館-台北二郎公館店 Uncle A-Bo-Lang Taiwan Bistro,2022-08-22 19:26:11,0223675033,臺北市中正區汀州路三段96號,4.2,https://ifoodie.tw/restaurant/62fa4a267cc7fc20fa1be87d-%E9%98%BF%E8%96%84%E9%83%8E%E8%96%84%E7%9A%AE%E9%A4%83%E5%AD%90%E5%8F%B0%E5%BC%8F%E5%B0%8F%E9%85%92%E9%A4%A8-%E5%8F%B0%E5%8C%97%E4%BA%8C%E9%83%8E%E5%85%AC%E9%A4%A8%E5%BA%97
藍家割包,2022-08-22 19:26:15,0223682060,臺北市中正區羅斯福路三段316巷8弄3號,3.9,https://ifoodie.tw/restaurant/559d7bc3c03a103ee86c7e94-%E8%97%8D%E5%AE%B6%E5%89%B2%E5%8C%85
素食地瓜球,2022-08-22 19:26:32,0987074426,臺北市中正區羅斯福路四段108巷8之1號,4.1,https://ifoodie.tw/restaurant/5cb81675f524683336995f38-%E7%B4%A0%E9%A3%9F%E5%9C%B0%E7%93%9C%E7%90%83
小木斑馬 Brunch & coffee,2022-08-22 19:26:38,0223564445,臺北市中正區羅斯福路二段66巷16號,4.5,https://ifoodie.tw/restaurant/62f80028cd995702534a61e8-%E5%B0%8F%E6%9C%A8%E6%96%91%E9%A6%AC-Brunch-%26-coffee
雙月食品社 青島店,2022-08-22 19:26:44,0233938953,臺北市中正區青島東路6之2號,4.5,https://ifoodie.tw/restaurant/55de00d72756dd6eac5c52d3-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E9%9D%92%E5%B3%B6%E5%BA%97
楽坡BonBox - 台北站前店 / 樂坡舒肥健康餐盒,2022-08-22 19:26:50,0965607276,臺北市中正區信陽街26之1號,4.3,https://ifoodie.tw/restaurant/62f89a9b873d794b7d0baa01-%E6%A5%BD%E5%9D%A1BonBox-%E5%8F%B0%E5%8C%97%E7%AB%99%E5%89%8D%E5%BA%97-%2F-%E6%A8%82%E5%9D%A1%E8%88%92
