id,餐廳名稱, 餐廳評價,餐廳地址,餐廳連結
1,無名鹹粥,4.0,臺北市中正區汀州路一段90號,https://ifoodie.tw/restaurant/559da0f7c03a103ee86c9281-%E7%84%A1%E5%90%8D%E9%B9%B9%E7%B2%A5
2,Kakigori Toshihiko,4.4,台北市中正區金門街2-2號,https://ifoodie.tw/restaurant/5b70f36322613929e502b71c-Kakigori-Toshihiko
3,潮·雞·派,4.9,臺北市中正區汀州路二段82號,https://ifoodie.tw/restaurant/62ee6c4e7cc7fc49b6eb1106-%E6%BD%AE%C2%B7%E9%9B%9E%C2%B7%E6%B4%BE
4,Vice Versa Wineshop & Kitchen,4.1,臺北市中正區廈門街94號,https://ifoodie.tw/restaurant/6080e21c781cc00c2d10b7de-Vice-Versa-Wineshop-
5,鴉片粉圓,4.0,臺北市中正區羅斯福路四段52巷16弄4號,https://ifoodie.tw/restaurant/59ef803d2756dd291ac66147-%E9%B4%89%E7%89%87%E7%B2%89%E5%9C%93
6,雙月食品社 濟南店,4.8,臺北市中正區濟南路一段7號1樓,https://ifoodie.tw/restaurant/5ec1f71e22613912d02802af-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E6%BF%9F%E5%8D%97%E5%BA%97
7,維都 公館店,4.7,臺北市中正區羅斯福路三段244巷13號,https://ifoodie.tw/restaurant/62c109e88282877424813e4e-%E7%B6%AD%E9%83%BD-%E5%85%AC%E9%A4%A8%E5%BA%97
8,欣葉日本料理自助餐聽,4.4,臺北市中正區館前路12號6樓,https://ifoodie.tw/restaurant/559de1b6c03a103ee86cb9d5-%E6%AC%A3%E8%91%89%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86%E8%87%AA%E5%8A%A9%E9%A4%90%E8%81%BD
9,素食地瓜球,4.0,臺北市中正區羅斯福路四段108巷8之1號,https://ifoodie.tw/restaurant/5cb81675f524683336995f38-%E7%B4%A0%E9%A3%9F%E5%9C%B0%E7%93%9C%E7%90%83
10,Petit France 小法國餐館,4.7,臺北市中正區青島東路21之4號善導寺捷運站,https://ifoodie.tw/restaurant/5e1342712756dd0e3c6eb051-Petit-France-%E5%B0%8F%E6%B3%95%E5%9C%8B%E9%A4%90%E9%A4%A8
11,阜杭豆漿,3.9,臺北市中正區忠孝東路一段108號2樓,https://ifoodie.tw/restaurant/559dbd8ec03a103ee86ca34f-%E9%98%9C%E6%9D%AD%E8%B1%86%E6%BC%BF
12,東一排骨總店,4.3,臺北市中正區延平南路61號2樓,https://ifoodie.tw/restaurant/559d4e54c03a103ee86c60d6-%E6%9D%B1%E4%B8%80%E6%8E%92%E9%AA%A8%E7%B8%BD%E5%BA%97
13,公館阿姨滷味,4.7,臺北市中正區羅斯福路三段286巷12號,https://ifoodie.tw/restaurant/6109feb2baf6d378ecff544b-%E5%85%AC%E9%A4%A8%E9%98%BF%E5%A7%A8%E6%BB%B7%E5%91%B3
14,山內雞肉,4.0,臺北市中正區中華路二段307巷20之3號,https://ifoodie.tw/restaurant/56decdad2756dd53853d469c-%E5%B1%B1%E5%85%A7%E9%9B%9E%E8%82%89
15,藍象廷 台北站前店,4.8,台北市中正區忠孝西路一段66號號B1,https://ifoodie.tw/restaurant/626abdf5baf6d35b2fb13ec6-%E8%97%8D%E8%B1%A1%E5%BB%B7-%E5%8F%B0%E5%8C%97%E7%AB%99%E5%89%8D%E5%BA%97
16,肉多多火鍋 台北重慶南店,4.6,臺北市中正區重慶南路一段58號3樓,https://ifoodie.tw/restaurant/5cd23c0e23679c4fd3429cee-%E8%82%89%E5%A4%9A%E5%A4%9A%E7%81%AB%E9%8D%8B-%E5%8F%B0%E5%8C%97%E9%87%8D%E6%85%B6%E5%8D%97%E5%BA%97
17,和牛涮樂日式涮涮鍋 公館店,4.7,臺北市中正區汀州路三段92號,https://ifoodie.tw/restaurant/5fe16052226139731a906b91-%E5%92%8C%E7%89%9B%E6%B6%AE%E6%A8%82%E6%97%A5%E5%BC%8F%E6%B6%AE%E6%B6%AE%E9%8D%8B-%E5%85%AC%E9%A4%A8%E5%BA%97
18,早澤,4.1,臺北市中正區齊東街68號,https://ifoodie.tw/restaurant/586e0856699b6e2c5c6a9eb5-%E6%97%A9%E6%BE%A4
19,公館活蝦,4.5,台北市中正區汀洲路三段210號,https://ifoodie.tw/restaurant/61a44ad6cd99573c98fa318f-%E5%85%AC%E9%A4%A8%E6%B4%BB%E8%9D%A6
20,山海樓,4.1,臺北市中正區仁愛路二段94號,https://ifoodie.tw/restaurant/5ca376c923679c1528e2559e-%E5%B1%B1%E6%B5%B7%E6%A8%93
21,池先生 Kopitiam 公館店,4.3,臺北市中正區羅斯福路三段284巷10號,https://ifoodie.tw/restaurant/59dbbacd2756dd1e89198c9f-%E6%B1%A0%E5%85%88%E7%94%9F-Kopitiam-%E5%85%AC%E9%A4%A8%E5%BA%97
22,上村牧場 微風北車店,3.8,臺北市中正區北平西路3號2樓,https://ifoodie.tw/restaurant/5fb26cce8c906d7b09b87ba4-%E4%B8%8A%E6%9D%91%E7%89%A7%E5%A0%B4-%E5%BE%AE%E9%A2%A8%E5%8C%97%E8%BB%8A%E5%BA%97
23,93番茄牛肉麵,4.2,臺北市中正區青島東路3之2號,https://ifoodie.tw/restaurant/59ff52d22756dd6f04e9d377-93%E7%95%AA%E8%8C%84%E7%89%9B%E8%82%89%E9%BA%B5
24,雙月食品社 青島店,4.5,臺北市中正區青島東路6之2號,https://ifoodie.tw/restaurant/55de00d72756dd6eac5c52d3-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E9%9D%92%E5%B3%B6%E5%BA%97
25,鐘予原味當歸鴨 公館店,4.4,臺北市中正區汀州路三段81號,https://ifoodie.tw/restaurant/61dd2292baf6d30524a2ac37-%E9%90%98%E4%BA%88%E5%8E%9F%E5%91%B3%E7%95%B6%E6%AD%B8%E9%B4%A8-%E5%85%AC%E9%A4%A8%E5%BA%97
26,Burger Yellow,4.5,臺北市中正區南陽街38巷2號,https://ifoodie.tw/restaurant/617d51f8781cc0564f5010d9-Burger-Yellow
27,大嗑西式餐館,4.6,臺北市中正區濟南路二段18之3號,https://ifoodie.tw/restaurant/559d6308c03a103ee86c6d68-%E5%A4%A7%E5%97%91%E8%A5%BF%E5%BC%8F%E9%A4%90%E9%A4%A8
28,貳樓餐廳Second Floor Cafe,4.1,臺北市中正區北平西路3號,https://ifoodie.tw/restaurant/559d7050c03a103ee86c76cf-%E8%B2%B3%E6%A8%93%E9%A4%90%E5%BB%B3Second-Floor-Caf
29,大三元酒樓,4.1,臺北市中正區衡陽路46號,https://ifoodie.tw/restaurant/559d9690c03a103ee86c8d5a-%E5%A4%A7%E4%B8%89%E5%85%83%E9%85%92%E6%A8%93
30,蘇記餃子館,4.0,臺北市中正區延平南路101巷5號,https://ifoodie.tw/restaurant/559d33b5c03a103ee86c4f99-%E8%98%87%E8%A8%98%E9%A4%83%E5%AD%90%E9%A4%A8
31,興鐵板燒,4.5,臺北市中正區仁愛路二段7號,https://ifoodie.tw/restaurant/5ffd1732226139325ef371e8-%E8%88%88%E9%90%B5%E6%9D%BF%E7%87%92
32,劉媽媽飯糰,4.3,臺北市中正區杭州南路二段88號,https://ifoodie.tw/restaurant/559d35c3c03a103ee86c50d6-%E5%8A%89%E5%AA%BD%E5%AA%BD%E9%A3%AF%E7%B3%B0
33,快樂檸檬Happylemon 公館旗艦店,4.8,臺北市中正區羅斯福路四段24巷14號,https://ifoodie.tw/restaurant/624124faa6272804d57b20c7-%E5%BF%AB%E6%A8%82%E6%AA%B8%E6%AA%ACHappylemon-%E5%85%AC%E9%A4%A8%E6%97%97%E8%89%A6%E5%BA%97
34,超能量鱸魚湯,5.0,臺北市中正區中華路二段309巷44號,https://ifoodie.tw/restaurant/62db41aaa627280723be6dba-%E8%B6%85%E8%83%BD%E9%87%8F%E9%B1%B8%E9%AD%9A%E6%B9%AF
35,uPoke 夏威夷生魚飯 水源門市,4.8,臺北市中正區思源街16號,https://ifoodie.tw/restaurant/62256c5fa627280f927b8740-uPoke-%E5%A4%8F%E5%A8%81%E5%A4%B7%E7%94%9F%E9%AD%9A%E9%A3%AF-%E6%B0%B4%E6%BA%90%E9%96%80%E5%B8%82
36,柳州螺螄粉,3.9,臺北市中正區南海路28號,https://ifoodie.tw/restaurant/62d5b304873d790c01e402ce-%E6%9F%B3%E5%B7%9E%E8%9E%BA%E8%9E%84%E7%B2%89
37,MKCR 山小孩咖啡,4.2,臺北市中正區忠孝西路一段126號,https://ifoodie.tw/restaurant/5b0069b62756dd43a52f15ee-MKCR-%E5%B1%B1%E5%B0%8F%E5%AD%A9%E5%92%96%E5%95%A1
38,魅麗海 中庭餐廳 (德立莊店),4.0,臺北市中正區秀山街4號,https://ifoodie.tw/restaurant/5ba47a24f524687dc59c416f-%E9%AD%85%E9%BA%97%E6%B5%B7-%E4%B8%AD%E5%BA%AD%E9%A4%90%E5%BB%B3-(%E5%BE%B7%E7%AB%8B%E8%8E%8A%E5%BA%97)
39,青島飯團,4.3,臺北市中正區青島西路13號,https://ifoodie.tw/restaurant/55a53054c03a10241de64ff2-%E9%9D%92%E5%B3%B6%E9%A3%AF%E5%9C%98
40,三統漢菓子 台北車站店,4.7,臺北市中正區北平西路三號一樓,https://ifoodie.tw/restaurant/62d5418582828724b3ab2959-%E4%B8%89%E7%B5%B1%E6%BC%A2%E8%8F%93%E5%AD%90-%E5%8F%B0%E5%8C%97%E8%BB%8A%E7%AB%99%E5%BA%97
41,辛殿麻辣鍋 公館店,4.4,臺北市中正區羅斯福路三段316巷9弄1號,https://ifoodie.tw/restaurant/5f90fe0902935e35cd626b65-%E8%BE%9B%E6%AE%BF%E9%BA%BB%E8%BE%A3%E9%8D%8B-%E5%85%AC%E9%A4%A8%E5%BA%97
42,太陽蕃茄拉麵,4.2,臺北市中正區忠孝西路一段38號B1樓,https://ifoodie.tw/restaurant/559d3c6fc03a103ee86c54d1-%E5%A4%AA%E9%99%BD%E8%95%83%E8%8C%84%E6%8B%89%E9%BA%B5
43,上海鄉村餐廳 濟南店,4.2,臺北市中正區濟南路二段37號,https://ifoodie.tw/restaurant/559d4f4cc03a103ee86c6160-%E4%B8%8A%E6%B5%B7%E9%84%89%E6%9D%91%E9%A4%90%E5%BB%B3-%E6%BF%9F%E5%8D%97%E5%BA%97
44,BAC Cake & Sweets,4.1,臺北市中正區忠孝西路一段38號,https://ifoodie.tw/restaurant/559d3c83c03a103ee86c5505-BAC-Cake-%26-Sweets
45,文慶雞,4.0,臺北市中正區忠孝東路二段33號,https://ifoodie.tw/restaurant/559de375c03a103ee86cbb3a-%E6%96%87%E6%85%B6%E9%9B%9E
