id,餐廳名稱, 餐廳評價,餐廳地址,餐廳連結
1,鐘予原味當歸鴨 公館店,4.4,臺北市中正區汀州路三段81號,https://ifoodie.tw/restaurant/61dd2292baf6d30524a2ac37-%E9%90%98%E4%BA%88%E5%8E%9F%E5%91%B3%E7%95%B6%E6%AD%B8%E9%B4%A8-%E5%85%AC%E9%A4%A8%E5%BA%97
2,焦糖楓漢方無烟撒粉串燒 同安店,4.5,臺北市中正區同安街38號,https://ifoodie.tw/restaurant/5e3251618c906d5297beb578-%E7%84%A6%E7%B3%96%E6%A5%93%E6%BC%A2%E6%96%B9%E7%84%A1%E7%83%9F%E6%92%92%E7%B2%89%E4%B8%B2%E7%87%92-%E5%90%8C%E5%AE%89%E5%BA%97
3,肉多多火鍋 台北重慶南店,4.6,臺北市中正區重慶南路一段58號3樓,https://ifoodie.tw/restaurant/5cd23c0e23679c4fd3429cee-%E8%82%89%E5%A4%9A%E5%A4%9A%E7%81%AB%E9%8D%8B-%E5%8F%B0%E5%8C%97%E9%87%8D%E6%85%B6%E5%8D%97%E5%BA%97
4,MKCR 山小孩咖啡,4.2,臺北市中正區忠孝西路一段126號,https://ifoodie.tw/restaurant/5b0069b62756dd43a52f15ee-MKCR-%E5%B1%B1%E5%B0%8F%E5%AD%A9%E5%92%96%E5%95%A1
5,上海鄉村餐廳 濟南店,4.2,臺北市中正區濟南路二段37號,https://ifoodie.tw/restaurant/559d4f4cc03a103ee86c6160-%E4%B8%8A%E6%B5%B7%E9%84%89%E6%9D%91%E9%A4%90%E5%BB%B3-%E6%BF%9F%E5%8D%97%E5%BA%97
6,93番茄牛肉麵,4.2,臺北市中正區青島東路3之2號,https://ifoodie.tw/restaurant/59ff52d22756dd6f04e9d377-93%E7%95%AA%E8%8C%84%E7%89%9B%E8%82%89%E9%BA%B5
7,桃山 Momoyama,4.1,臺北市中正區忠孝東路一段12號2樓,https://ifoodie.tw/restaurant/5cc85a492756dd37839382f5-%E6%A1%83%E5%B1%B1-Momoyama
8,忠青商行,4.3,臺北市中正區青島東路6之1號青島會館二館,https://ifoodie.tw/restaurant/5e844e4a2261392093b21823-%E5%BF%A0%E9%9D%92%E5%95%86%E8%A1%8C
9,何家甜品鋪-剉冰雪花冰(公館汀州),4.4,臺北市中正區汀州路三段124號1樓,https://ifoodie.tw/restaurant/62abfa1f873d792aed2f2657-%E4%BD%95%E5%AE%B6%E7%94%9C%E5%93%81%E9%8B%AA-%E5%89%89%E5%86%B0%E9%9B%AA%E8%8A%B1%E5%86%B0(%E5%85%AC%E9%A4%A8%E6%B1%80%E5%B7%9E)
10,人性甜點,4.8,臺北市中正區羅斯福路三段286巷4弄1號,https://ifoodie.tw/restaurant/5e7b691f2756dd7a65543cb1-%E4%BA%BA%E6%80%A7%E7%94%9C%E9%BB%9E
11,請客樓 (喜來登大飯店),4.4,臺北市中正區忠孝東路一段12號17樓,https://ifoodie.tw/restaurant/559d4bc4c03a103ee86c5ebd-%E8%AB%8B%E5%AE%A2%E6%A8%93-(%E5%96%9C%E4%BE%86%E7%99%BB%E5%A4%A7%E9%A3%AF%E5%BA%97)
12,東北之家酸菜白肉鍋 青島店,4.4,臺北市中正區青島東路5號,https://ifoodie.tw/restaurant/59ef81312756dd291ac661a3-%E6%9D%B1%E5%8C%97%E4%B9%8B%E5%AE%B6%E9%85%B8%E8%8F%9C%E7%99%BD%E8%82%89%E9%8D%8B-%E9%9D%92%E5%B3%B6%E5%BA%97
13,YumYum 好吃好吃2號店,3.9,臺北市中正區羅斯福路三段316巷16號2樓,https://ifoodie.tw/restaurant/5dd358658c906d1ce32e9354-YumYum-%E5%A5%BD%E5%90%83%E5%A5%BD%E5%90%832%E8%99%9F%E5%BA%97
14,東雛菊-風味鍋物,4.4,臺北市中正區汀州路三段127號,https://ifoodie.tw/restaurant/5e7f5d4c2756dd7a62627b62-%E6%9D%B1%E9%9B%9B%E8%8F%8A-%E9%A2%A8%E5%91%B3%E9%8D%8B%E7%89%A9
15,捲捲村,5.0,臺北市中正區中華路二段313巷5弄20之1號,https://ifoodie.tw/restaurant/6119d17ea627280f71e7c480-%E6%8D%B2%E6%8D%B2%E6%9D%91
16,uPoke 夏威夷生魚飯 水源門市,4.8,臺北市中正區思源街16號,https://ifoodie.tw/restaurant/62256c5fa627280f927b8740-uPoke-%E5%A4%8F%E5%A8%81%E5%A4%B7%E7%94%9F%E9%AD%9A%E9%A3%AF-%E6%B0%B4%E6%BA%90%E9%96%80%E5%B8%82
